t_shift,absolute_ATE,relative_ATE
0,0.0020163250083515554,0.10578625108757293
1,0.03268675039420612,1.6776806382255165
2,0.03039437106822964,1.5170766892285057
3,0.027174462394458625,1.3270070923487296
4,0.023556643876203244,1.1285577731095717
5,0.02023485537318391,0.953263652344298
6,0.0080818634188758,0.35432481304878094
7,0.005601402203117331,0.24785167245477105
8,0.0038618577481429185,0.17779726393718906
9,0.0030120795011088107,0.14298167483859395
10,0.002432246676026593,0.12365538810161157
11,0.002133271267460309,0.11283386199428143
12,0.002058903694898498,0.10578213803468724
13,0.002134383327275791,0.11200178854534697
14,0.0021811479033736953,0.11396346778948972
15,0.0022542683120705394,0.11918658041003222
16,0.0020565084735407395,0.10630205754352627
17,0.0020534843351823566,0.11167268540584648
18,0.0020210834832591422,0.10839746771025986
19,0.0022142992842014196,0.11698490897378154
