t_shift,absolute_ATE,relative_ATE
0,0.0020820601772910795,0.11449713417974833
1,0.038694774022001915,2.0976742603291987
2,0.03396017352442935,1.7544263393638602
3,0.02861099956999462,1.427675956056252
4,0.02450768382441117,1.193406063875765
5,0.020259655224271585,0.9672518073188379
6,0.0077176814291513825,0.34070775309664675
7,0.005217825519125026,0.23256648959650075
8,0.003559837233321039,0.17034496620913359
9,0.0027884817434712145,0.14121736946207575
10,0.002146829353353227,0.11522673933399846
11,0.0023707393543230216,0.1322990168292052
12,0.0022003937741411905,0.12372029651940018
13,0.002240802769926855,0.1221653338361809
14,0.0020575601375731863,0.11410769223203009
15,0.0020899188209857664,0.11632333029536504
16,0.0020495450525527597,0.11199821751567525
17,0.002106176540456795,0.1142902029202413
18,0.002310506478609563,0.12723530296434724
19,0.002116306824066822,0.11485957439708916
20,0.002043028038533008,0.1118148800580755
21,0.0020901906720138565,0.11336409118960811
22,0.0020160716540158848,0.11109058576858204
23,0.0020864374345856184,0.11499270625168201
24,0.0021860892765630012,0.12209422467318298
25,0.0021606221360835065,0.11837092573096981
26,0.0019590516886961,0.10565085234727535
27,0.002101833930089418,0.11546931714989438
28,0.0022271910004996055,0.1190935504150092
29,0.001869387235360851,0.10236400177857793
30,0.002012695693935836,0.1102344001503409
31,0.0021792422087236803,0.118813089842584
32,0.00200779871414451,0.11119350182758268
33,0.002053077532816856,0.11073767632688405
34,0.0022422194995980736,0.12477842272485656
35,0.002106531515385703,0.11546256010013232
36,0.00196722717657059,0.10922133144795718
37,0.00215330228817315,0.11690417753000049
38,0.0021405650558216777,0.11826286817264269
39,0.002087474537436988,0.11558437570661458
40,0.0020097917526244362,0.11280787940351064
41,0.002146409680990367,0.11617019121188163
42,0.0021079947301999996,0.11561229786921062
43,0.0021820695042959553,0.11853742256169301
44,0.0021022170674117402,0.11670801593525053
45,0.0019612983362710867,0.10802381367053498
46,0.0020210873642699015,0.11008085376288683
47,0.0023170542036611104,0.12699892752906114
48,0.0021613262264117863,0.11718594636679931
49,0.0021201947108154743,0.11586047787549657
