time_shift,transfer_entropy,std
0,0.0001061921208006681,3.386791775928026e-05
1,0.00010594549610598624,3.234816504348476e-05
2,0.00010604196695134455,3.3297789122567986e-05
3,0.000108281205434138,3.1953831938830364e-05
4,0.00011088489090349123,3.510017002508274e-05
5,0.0001087027828604849,3.5886131423514996e-05
6,0.00010706816412884047,3.378737515669449e-05
7,0.00010475265298781905,3.312436224525383e-05
8,0.00011046352525626047,3.489668233488814e-05
9,0.00010923464818435755,3.454581461845832e-05
10,0.00011105712223090963,3.111173656734642e-05
11,0.0001063041213285364,3.1808371850019205e-05
12,0.00010699004145602097,3.2001319926406684e-05
13,0.00010938308528571923,3.3495948920103644e-05
14,0.00010586187889799145,3.12482896628539e-05
