time_shift,transfer_entropy,std
0,0.00012868430474793007,5.9580833821736296e-05
1,0.00015981154139561152,0.00017611070425609858
2,0.0001772920029573286,0.00023838271849712248
3,0.00017991425074948572,0.0002527066931179919
4,0.00018051555326570426,0.00021311424889577991
5,0.00017115632541365354,0.00020556049245196961
6,0.0001471510706669289,0.00010743205403928135
7,0.0001322426831459959,7.826268588567058e-05
8,0.00012883563220429233,6.989408499890675e-05
9,0.00012984243436520238,7.080826822792308e-05
10,0.000128803515257162,6.989131710728323e-05
11,0.0001295387532654052,6.933788870394686e-05
12,0.00013344619980844825,6.196953764048422e-05
13,0.0001316868102234582,6.828499869809482e-05
14,0.00012968100069978464,6.568608102533121e-05
