time_shift,transfer_entropy,std
0,0.00010492936016007564,3.1525911496640095e-05
1,0.0001100564384562139,3.13923080403377e-05
2,0.00010429874957122683,3.226003371553015e-05
3,0.00010770592991432606,3.509306773303985e-05
4,0.00011022044775370774,3.626406334434958e-05
5,0.00010858843268734187,3.305808899312297e-05
6,0.00010752057759646282,3.396925404844748e-05
7,0.00011213372247992017,3.479624969117957e-05
8,0.00010693201232197132,3.5236776074735176e-05
9,0.00010272816789781923,3.356803377063663e-05
10,0.00010454432187689851,3.045965709716634e-05
11,0.00010871834695540905,3.2770821876310376e-05
12,0.0001023660624606687,3.258959460669454e-05
13,0.00010772998823594738,3.1480641549717136e-05
14,0.00010738890025376258,3.4453786756980775e-05
