time_shift,transfer_entropy,std
0,0.00010590795970640044,3.4215851443482726e-05
1,0.00010792707381971797,3.2545726117552236e-05
2,0.00010957783910874982,3.6780054468199045e-05
3,0.00011120416452939026,3.672884185250364e-05
4,0.00010984373950393798,3.595064720264074e-05
5,0.00010920119848290156,3.165963419851229e-05
6,0.00011442421998735223,3.537676000599309e-05
7,0.00010663009283392303,3.5993112960297426e-05
8,0.00010617802430704649,3.3905012234740776e-05
9,0.00010654802857494043,3.5848148185465803e-05
10,0.00010972725983536883,3.2460965012774786e-05
11,0.00010888837327764918,3.644240159557079e-05
12,0.00010799643348562953,3.2831045932383566e-05
13,0.00011024536617462488,3.563127053392515e-05
14,0.0001049300499063047,2.8683342029668557e-05
