time_shift,transfer_entropy,std
0,0.00011562813060934564,4.251779650043229e-05
1,0.0001181587464082278,4.9000014185076174e-05
2,0.00011763267165035975,4.365582685205139e-05
3,0.00011762912594719631,4.0987465705490914e-05
4,0.0001146496919153981,4.115669662562933e-05
5,0.00011107779351016238,4.123999187025949e-05
6,0.00011801388809560805,4.709853494874095e-05
7,0.00011366535751586749,4.4522835652272475e-05
8,0.00011855418972828245,4.508682792847437e-05
9,0.00011733659567036248,4.574210527283369e-05
10,0.00011901637182485942,4.535374162603749e-05
11,0.00011462954490663344,4.3237055945468926e-05
12,0.00011604310526658504,4.3471166477333666e-05
13,0.00011402342220653009,4.594673009868076e-05
14,0.00011666770430607331,4.504132632751448e-05
