time_shift,transfer_entropy,std
0,0.00010782453292086774,3.249020288391128e-05
1,0.00010668322970844319,3.242897253573893e-05
2,0.00010721992903725485,3.452207274597504e-05
3,0.00011238947840434019,3.75587552135514e-05
4,0.00011143916576803957,3.805106789035168e-05
5,0.00010678837472536052,3.1825062512192255e-05
6,0.00010869551550919955,3.302606674605511e-05
7,0.00011035552513689942,3.519069196974836e-05
8,0.00010767691150785626,3.6045815531004054e-05
9,0.00010989750373421949,3.396662748506704e-05
10,0.00011128958083425129,3.520139118134412e-05
11,0.00011170220932874376,3.736975428287602e-05
12,0.00010799020670420859,3.455681801230314e-05
13,0.00010761681863971505,3.306098899920102e-05
14,0.00010664155377494895,3.617033426311055e-05
