time_shift,transfer_entropy,std
0,0.00011711443325305906,3.868256925825131e-05
1,0.00011542502931167447,4.051587378313781e-05
2,0.00011888243205873932,4.552057287043875e-05
3,0.00011659434043797593,4.075439237624714e-05
4,0.00010922349477667042,3.692262770352874e-05
5,0.00011459236046004806,4.2373196841289385e-05
6,0.0001124814057877535,4.1656240989559826e-05
7,0.00011107458789551276,3.7869517714802424e-05
8,0.00011604253630493111,3.906292642181664e-05
9,0.00011454336658305122,3.736553569915485e-05
10,0.00011183725316489192,3.50101452985222e-05
11,0.00011430645469133551,3.966431565388011e-05
12,0.00011716629588786867,4.469705237785172e-05
13,0.0001165006170831363,3.78955876163121e-05
14,0.00011180506317294632,3.738021417178091e-05
