time_shift,transfer_entropy,std
0,0.0020590537459600306,0.002928968970653106
1,0.0011965473375767782,0.001564080752925249
2,0.0007640108277039157,0.0009409936238138205
3,0.00055751003700039,0.0006306026898982619
4,0.00042871106319818683,0.0004508090809247015
5,0.00021554342500586704,0.00019382394036180565
6,0.00019826253523546854,0.00015409760720442423
7,0.00019338611178193826,0.00013849321624528617
8,0.00018562968607553875,0.00012544551162898838
9,0.00018382609815510508,0.00012729146817302023
10,0.00018388412213566892,0.0001192410592642739
11,0.00018524411370510072,0.00012082437059424078
12,0.00018379981019716877,0.00011242194246494971
13,0.00018873289899713,0.00011849505086883776
14,0.00018456201138312544,0.00012036102917153598
