change,transfer_entropy,std
1,0.0006612995947794459,0.0007598388319287421
2,0.0006906151412341882,0.0008001423941913284
3,0.0007716465920978073,0.00098367905925467
4,0.000786148341253101,0.0009877889449429625
5,0.0008171840769666283,0.0011118451106228112
