change,transfer_entropy,std
1,0.0006005890653543533,0.0007069798196498046
2,0.0005866554975328466,0.0007040886674171121
3,0.0005513339618420554,0.0006780772630792849
4,0.0005298414299770446,0.0006621898401463918
5,0.0005161430185871986,0.0006632634405180487
