time_shift,transfer_entropy,std
0,0.0007491223675476959,0.001008718084492905
1,0.0005656216515895449,0.000674064794351381
2,0.0004435167960879423,0.0004771282145607674
3,0.0003726691491951037,0.00036782946577377205
4,0.0003265958789701272,0.00032839554001349035
5,0.0001996599360490596,0.00015761045951538638
6,0.00018580959586831562,0.0001324835624485489
7,0.00017717243664600404,0.0001125829549779822
8,0.00017955925371190541,0.0001122762866166627
9,0.00017253338982608355,0.00010569117643039449
10,0.0001714260894235743,9.30000445428913e-05
11,0.00016981365823469832,9.06551922688518e-05
12,0.0001695516668295289,9.752847193456859e-05
13,0.00017085756443710617,9.330660447645345e-05
14,0.00016756589153906536,9.20054306332527e-05
