neurons,source_active_info,source_active_std,source_bloch_entropy,source_bloch_std,sink_active_info,sink_active_std,sink_bloch_entropy,sink_bloch_std
3,0.0009205094289267637,9.76154583612207e-05,2.045561056649588,0.031276400563833594,0.0016029022092426876,0.0015487315274028955,2.2481893510154483,0.34482059461104714
4,0.000912628100311029,9.463837169581437e-05,2.0469306032861194,0.03390515523963738,0.0012542587676146457,0.0006848801843662255,2.1678599569457817,0.25891871145053613
5,0.0009269542365644798,9.966658144318073e-05,2.047328020552895,0.034205800001436186,0.0011971701307013447,0.0005306539724692585,2.1791640634562106,0.22460682215800268
6,0.0009117242872336694,9.703131434253717e-05,2.046016083902558,0.02891087270527441,0.0010665335610407821,0.00029710773269890975,2.1263078220625324,0.1612666291521695
7,0.000921769318738797,0.00011177507415059598,2.042588779348287,0.03322339435572663,0.0010399912407157324,0.00023268913915271385,2.1290631572035563,0.15401290451428543
8,0.0009076320807587297,0.00010709810019617881,2.0452284797676246,0.03432498007163745,0.0010169210011529795,0.00022731978867097317,2.112500441330125,0.14307129383728195
9,0.0009138353154357515,0.00010726686607671322,2.0425511503507363,0.03208133620945289,0.0010155782910772652,0.00021205439596579454,2.117067191386337,0.13728734120376312
10,0.0009299369165976045,9.940723748028762e-05,2.0472313238646414,0.03482357325323855,0.001013598271023529,0.00017603124680147522,2.1178323052203,0.12244796699671195
11,0.0009251947676473002,9.866615855680554e-05,2.0457376689624387,0.03321291827392025,0.0009878003240176526,0.00016222237309969177,2.098895145133742,0.10660203387725214
12,0.0009166783555499682,9.311307521492068e-05,2.046959046544184,0.029398065665752624,0.0009966086856827252,0.0001586461462540382,2.093391782978144,0.10246545819016618
13,0.0009043101320706207,9.500927695385502e-05,2.0453491138792517,0.03198663518205016,0.0009777083710812496,0.00014592602302884616,2.0953994536445104,0.09869621793782025
14,0.0009243280437362851,0.00010629051817364154,2.0439061258147477,0.034547031023972635,0.000966689414530019,0.00014570397840634678,2.0856871336691847,0.09650836822425758
