time_shift,transfer_entropy,std
0,0.00010548145791655899,3.395482758006571e-05
1,0.00010568045782547734,3.36524831661885e-05
2,0.00011070345245022566,3.321303280858024e-05
3,0.00010544950270218271,3.193125056291282e-05
4,0.00010440219760861489,3.4353028339079064e-05
5,0.00011282968847501853,3.3882552020005904e-05
6,0.00010721497772436605,3.0612608564396736e-05
7,0.00010705246793851524,3.100329475206241e-05
8,0.00010837946577143978,3.4675176116172335e-05
9,0.0001088996641797816,3.1799623121883354e-05
10,0.0001110456517310076,3.3399500206409804e-05
11,0.00010853625695448427,3.430986044300268e-05
12,0.00010883357037138147,3.503733174501084e-05
13,0.00010785307171057288,3.322281794167223e-05
14,0.00010569348893401672,3.0075408561492952e-05
15,0.00010722387035817277,3.295784184538815e-05
16,0.00010638912107560664,3.242040124837147e-05
17,0.00010976837469004478,3.690655838369578e-05
18,0.00010955737847181242,3.320009592392302e-05
19,0.00011040097441389973,3.408962712255991e-05
