t_shift,absolute_ATE,relative_ATE
0,0.0020378641043183503,0.10830439204702456
1,0.019732320791691942,1.009802450582587
2,0.018787007940407708,0.9400643036212577
3,0.017046778912883143,0.841329819475512
4,0.015426689585285537,0.7545779061439671
5,0.013608469188928947,0.6516143893514855
6,0.005702832766798556,0.26442696682426814
7,0.004155603667884386,0.19403229623612417
8,0.0030176682905338915,0.1421584755305118
9,0.002624368664107616,0.12764178241950722
10,0.002276706833598939,0.1174967188160178
11,0.002212219232533027,0.11489037614039117
12,0.0021615904269835216,0.11458286549042858
13,0.0019863743320812375,0.10363175088921352
14,0.0021038152797161797,0.1121605137064376
15,0.0020493805233508726,0.10893929055534313
16,0.002213711964922696,0.11797991211277079
17,0.0019151172714597978,0.10227555876039922
18,0.0019609424388453687,0.10244144573181721
19,0.002021142454912266,0.10596371803944227
