t_shift,absolute_ATE,absolute_ATE_std,relative_ATE,relative_ATE_std,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
0,7.123852707924444e-05,0.0023567140620934595,0.00392957312347456,0.17018361258375014,0.01337678082191781,0.00025286897612055126,0.01419821917808219,0.0011508009033209246,0.014268385604680545,0.002713814658007663,0.0141971470776013,0.0011475293942866851,6.330360365346084e-05,0.0023135575083103074
1,-0.00044034847712873666,0.002101407915417765,-0.030380027251749594,0.14656933490696133,0.01337678082191781,0.00025286897612055126,0.01419821917808219,0.0011508009033209246,0.013763882937450844,0.002309927006413424,0.014204231414579584,0.0011528795713400086,-0.00042899115860392853,0.0020294674499493183
2,-0.0005304588021930487,0.0019648367209530344,-0.038152895772539566,0.14170639031855845,0.01337678082191781,0.00025286897612055126,0.01419821917808219,0.0011508009033209246,0.013674811695734031,0.0023293366639283936,0.014205270497927079,0.0011492243728599444,-0.0005202315971542954,0.0019253707102068237
3,-7.286443072160499e-05,0.0021244802804208417,-0.005471974398744994,0.1465705597996722,0.01337678082191781,0.00025286897612055126,0.01419821917808219,0.0011508009033209246,0.014126297060887713,0.002433661818969763,0.014199161491609321,0.0011499746466616674,-7.362271242340236e-05,0.002036704272028171
4,-0.0004500253558721763,0.0022226764037669954,-0.030443278305450537,0.15469790788981566,0.01337678082191781,0.00025286897612055126,0.01419821917808219,0.0011508009033209246,0.013754274620774816,0.0023675322797990974,0.014204299976646994,0.001154243022131244,-0.00043232430367662306,0.002141962819128871
5,0.0006228963124939775,0.0023306799322691425,0.04201503282897209,0.16496480666746627,0.01337678082191781,0.00025286897612055126,0.01419821917808219,0.0011508009033209246,0.014812755308154348,0.002764081051638702,0.014189858995660368,0.0011450395319544241,0.0005899115684736592,0.0022583647941606467
6,-6.454499754061102e-05,0.0022896144566187855,-0.0032694928096623833,0.16209070820729796,0.01337678082191781,0.00025286897612055126,0.01419821917808219,0.0011508009033209246,0.014134547657612849,0.0024495220643410537,0.014199092655153464,0.0011537738971851604,-5.644377450621706e-05,0.00222352817257039
7,-0.0002839223727621169,0.0025736241825177605,-0.017396281519098285,0.17887527848965787,0.01337678082191781,0.00025286897612055126,0.01419821917808219,0.0011508009033209246,0.01391794497852081,0.002599300685779108,0.014201867351282923,0.0011572364838350387,-0.00025505208222413676,0.002478767202893637
8,-2.0769141577264263e-05,0.002201938902513288,-0.0008685896291120825,0.15600603763752058,0.01337678082191781,0.00025286897612055126,0.01419821917808219,0.0011508009033209246,0.014177768535077958,0.002454913206395037,0.01419853767665522,0.001151273823336069,-2.019384205946519e-05,0.002144427194727249
9,0.000666098351682706,0.0024369860944275876,0.046434767323778825,0.1758213826850957,0.01337678082191781,0.00025286897612055126,0.01419821917808219,0.0011508009033209246,0.014855472660154141,0.0027602741423503087,0.014189374308471434,0.0011482139012403195,0.0006375667027666818,0.0023864632431403877
