t_shift,absolute_ATE,relative_ATE
0,0.0022484887918489435,0.11802122294643816
1,0.020155402656994822,1.0683863912105693
2,0.01873998589105576,0.9672218210300741
3,0.017473716627234147,0.8815790123071278
4,0.01579093322689451,0.7811077932658673
5,0.014094758054325229,0.692191355515773
6,0.006113704783459025,0.2809332414356641
7,0.004799994378562335,0.22530440436701596
8,0.003436978786628147,0.16584830785044402
9,0.002752657481986524,0.13827650470953048
10,0.0022337311559450564,0.11487271265156167
11,0.0021416310368043406,0.11427923784743699
12,0.002259892637185994,0.11705056623968829
13,0.002240606220982963,0.11937460952745622
14,0.002132933582895826,0.11349110684172051
15,0.001902437320975291,0.10131068396964875
16,0.0019638742486679404,0.10516809972694148
17,0.002163078145928728,0.11521060288606477
18,0.002124427757656584,0.11504427690021768
19,0.0021594711773855204,0.1162873486337228
