small_world_avg_global_count,random_avg_global_count,small_world_avg_connectivity,random_avg_connectivity
15.0,15.0,0.43281005291005287,0.49161776001776
60.0,60.54,0.43281005291005287,0.49161776001776
59.535,65.685,0.43281005291005287,0.49161776001776
9.195,18.88,0.43281005291005287,0.49161776001776
0.13,1.435,0.43281005291005287,0.49161776001776
0.0,0.075,0.43281005291005287,0.49161776001776
0.0,0.0,0.43281005291005287,0.49161776001776
0.0,0.0,0.43281005291005287,0.49161776001776
0.0,0.0,0.43281005291005287,0.49161776001776
0.0,0.0,0.43281005291005287,0.49161776001776
