small_world_avg_global_count,random_avg_global_count,small_world_avg_connectivity,random_avg_connectivity
40.0,40.0,0.32916052697302706,0.285303704507352
240.0,240.04,0.32916052697302706,0.285303704507352
330.08,218.125,0.32916052697302706,0.285303704507352
151.995,30.8,0.32916052697302706,0.285303704507352
8.805,0.72,0.32916052697302706,0.285303704507352
0.0,0.0,0.32916052697302706,0.285303704507352
0.0,0.0,0.32916052697302706,0.285303704507352
0.0,0.0,0.32916052697302706,0.285303704507352
0.0,0.0,0.32916052697302706,0.285303704507352
0.0,0.0,0.32916052697302706,0.285303704507352
