small_world_avg_global_count,random_avg_global_count,small_world_avg_connectivity,random_avg_connectivity
20.0,20.0,0.3522990981240981,0.3793324356199356
80.0,80.78,0.3522990981240981,0.3793324356199356
66.725,66.05,0.3522990981240981,0.3793324356199356
6.765,11.155,0.3522990981240981,0.3793324356199356
0.005,0.34,0.3522990981240981,0.3793324356199356
0.0,0.005,0.3522990981240981,0.3793324356199356
0.0,0.0,0.3522990981240981,0.3793324356199356
0.0,0.0,0.3522990981240981,0.3793324356199356
0.0,0.0,0.3522990981240981,0.3793324356199356
0.0,0.0,0.3522990981240981,0.3793324356199356
