small_world_avg_global_count,random_avg_global_count,small_world_avg_connectivity,random_avg_connectivity
25.0,25.0,0.3143643867243867,0.3026716583416583
100.0,100.015,0.3143643867243867,0.3026716583416583
76.79,63.665,0.3143643867243867,0.3026716583416583
6.235,6.32,0.3143643867243867,0.3026716583416583
0.055,0.08,0.3143643867243867,0.3026716583416583
0.0,0.0,0.3143643867243867,0.3026716583416583
0.0,0.0,0.3143643867243867,0.3026716583416583
0.0,0.0,0.3143643867243867,0.3026716583416583
0.0,0.0,0.3143643867243867,0.3026716583416583
0.0,0.0,0.3143643867243867,0.3026716583416583
