small_world_avg_global_count,random_avg_global_count,small_world_avg_connectivity,random_avg_connectivity
50.0,50.0,0.303700819833761,0.22734168670711735
300.0,297.39,0.303700819833761,0.22734168670711735
390.915,210.175,0.303700819833761,0.22734168670711735
180.655,17.5,0.303700819833761,0.22734168670711735
7.83,0.16,0.303700819833761,0.22734168670711735
0.015,0.0,0.303700819833761,0.22734168670711735
0.0,0.0,0.303700819833761,0.22734168670711735
0.0,0.0,0.303700819833761,0.22734168670711735
0.0,0.0,0.303700819833761,0.22734168670711735
0.0,0.0,0.303700819833761,0.22734168670711735
