small_world_avg_global_count,random_avg_global_count,small_world_avg_connectivity,random_avg_connectivity
10.0,10.0,0.2112166666666667,0.3753166666666667
20.0,20.235,0.2112166666666667,0.3753166666666667
2.885,8.265,0.2112166666666667,0.3753166666666667
0.005,0.73,0.2112166666666667,0.3753166666666667
0.0,0.03,0.2112166666666667,0.3753166666666667
0.0,0.0,0.2112166666666667,0.3753166666666667
0.0,0.0,0.2112166666666667,0.3753166666666667
0.0,0.0,0.2112166666666667,0.3753166666666667
0.0,0.0,0.2112166666666667,0.3753166666666667
0.0,0.0,0.2112166666666667,0.3753166666666667
