t_shift,absolute_ATE,relative_ATE
0,0.001941844215430701,0.10432710877321942
1,0.027255641202609687,1.45994842185915
2,0.02437344676119714,1.260339034025418
3,0.02187597475452165,1.1046696449430018
4,0.019061929091858772,0.936369512885909
5,0.016304604475222792,0.787735844443549
6,0.006738048729241093,0.30703156525956565
7,0.004851775805787835,0.2195437679610741
8,0.003764543890737112,0.17627863868950658
9,0.0028766763365382624,0.14029735568396065
10,0.002582984453998922,0.12956707003173906
11,0.0023968248450783906,0.12475033527314873
12,0.002324051620335737,0.12473434524520992
13,0.0021513861829509915,0.11444249921948657
14,0.001987616524506368,0.10737989801681519
15,0.0021457052381820677,0.11473633910313354
16,0.00206604141858847,0.11211394331124427
17,0.00211576496541558,0.11261151078385057
18,0.001947569476414079,0.10464857796538875
19,0.0020915398584174273,0.11131857548453487
