t_shift,absolute_ATE,relative_ATE
0,0.0021768594902805086,0.11502784466924307
1,0.017997106810857564,0.9199386993169477
2,0.016921991683969774,0.8470482706567671
3,0.015690012211353674,0.7770050889562579
4,0.013792165316532932,0.6738989381061135
5,0.011991245248484267,0.5799551997664393
6,0.005265606202885511,0.24686618189090098
7,0.00422942328878832,0.19838709558984557
8,0.0030244101023013535,0.14185399097794885
9,0.002523524755341554,0.12578081026518276
10,0.002249772700702563,0.11260491979066548
11,0.0022125206280609543,0.11510859709950444
12,0.002066352946223412,0.10772684249008446
13,0.0021395995978331357,0.110325305099967
14,0.002322925339434968,0.12096368602492323
15,0.0023108207010211716,0.12083765872103379
16,0.0022367201582803534,0.1150990412595273
17,0.0020729373843734605,0.10929697406367761
18,0.00229306153747372,0.12009247701535194
19,0.002125982590674873,0.11261847049680554
