in_degree,out_degree,te_out_shift_0,te_out_shift_1,te_out_shift_2,te_out_shift_3,te_out_shift_4,te_out_shift_5,te_out_shift_6,te_out_shift_7,te_out_shift_8,te_out_shift_9,te_in_shift_0,te_in_shift_1,te_in_shift_2,te_in_shift_3,te_in_shift_4,te_in_shift_5,te_in_shift_6,te_in_shift_7,te_in_shift_8,te_in_shift_9,1_source,1_mediator,1_sink,2_source,2_mediator,2_sink,3_source,3_mediator,3_sink,4_source,4_mediator,4_sink
2,5,0.0036517483308720054,0.003566923236355125,0.0033479857965513274,0.0034649601971342135,0.003498840116519704,0.0030033359836964596,0.003240200402785504,0.00310906671519632,0.0030675869975839852,0.003356840315207793,0.0030922143965578836,0.002903684528768676,0.002981742413570614,0.00314617895917169,0.003031075292344393,0.0027411720968262745,0.0031737164296316974,0.002924692972518672,0.0029516819943016027,0.003399442383626211,5.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4,0.0036364660236347106,0.0034288511777066555,0.0032469175336360223,0.0034046395635499225,0.0034583170314754722,0.0032454672728545004,0.00342119499980757,0.0033776741673375078,0.0031352796019467107,0.0031051752596249365,0.004462035998683304,0.004160074710930592,0.0037457176387947697,0.003611825144281396,0.003642127866719935,0.003456227193867976,0.0035815586174837177,0.003489430606825896,0.0032126243130789385,0.0031594014646966428,4.0,0.0,7.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0036037919504170062,0.003539972223239839,0.0036993867880178726,0.00346571596094522,0.003465226276640261,0.0031649717861838254,0.003141576584918447,0.0032298941484847814,0.00324565944545413,0.0031938652736018336,0.003586060556032162,0.0034216284886259035,0.0033235343813451316,0.0032365853214716732,0.0032175385861534025,0.0030406745152942167,0.0028819178684885978,0.003087355834608736,0.0030489627610947494,0.0028243815401444478,4.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0036671229670590354,0.0031332889790347115,0.0032959327044384057,0.0032985605900242632,0.003605386083316767,0.0034039172302082906,0.0034103682309125655,0.003153244338481753,0.0032603285885177175,0.003256119754939649,0.003573669728600334,0.0035493173726622034,0.0033977286414496586,0.0033295733675737403,0.0033764145505251588,0.0032675784267996197,0.003361482031362333,0.003223468622230127,0.0032101071482377574,0.0037342263099427756,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0032659489539711415,0.003375333695085017,0.003081164873628476,0.0030724807368688405,0.0033512609576924306,0.0031784562802166737,0.003030892483759756,0.003146273141664567,0.003417742521424469,0.0031488942792340015,0.0029536696805437606,0.002943072268240462,0.0027326509374556423,0.0030239394879926357,0.003438474331873994,0.0028249332958809547,0.0028510133784791373,0.002806960823881813,0.002875980538784614,0.0029286225200246627,3.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.0037441075565438184,0.0035273270463810546,0.003233245231744758,0.0035208356218952904,0.003256526445975254,0.003189904641189237,0.003559471403184799,0.003307708900366042,0.00301335498139979,0.003050975852869892,0.002969294523727028,0.00273190761846024,0.002977270965413191,0.002950981583505023,0.003147783188634246,0.0029447857998325115,0.0030706634324748176,0.003101081282265029,0.0030807963537506904,0.0030127257105811525,5.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0.003122698189635572,0.0030679755445526145,0.0032552860846256026,0.003098397747321531,0.002966773627360251,0.002875416108550212,0.0030478479537649505,0.002875989979956854,0.003122529239164886,0.0031654683252719685,0.0028869819685534677,0.002651243081659099,0.00260278252133064,0.002692389188416932,0.0026915198605223407,0.0025289910311940018,0.002608669861232201,0.002681010186211671,0.0028302375596024184,0.002551588978015495,6.0,0.0,5.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0.0035299952889185113,0.0034338767471783424,0.0033848861151782902,0.003476310510255796,0.003636247489332594,0.0031569905876737882,0.0035686468022225084,0.003671162226985764,0.0036862854263410958,0.003339170459690966,0.00460725196542247,0.00421145630050861,0.0038871910983802704,0.003933922320381199,0.0036618358604575303,0.003635278806303775,0.0037149922006017386,0.00363727856572284,0.0034303316148224564,0.0033502008793405134,6.0,0.0,5.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0.0030596529738519144,0.0030503852331038262,0.003627619259060086,0.003507924676600826,0.0032472585514874692,0.003160383291904833,0.0030951120204390768,0.0030943253070088677,0.0030308047033295762,0.0030921408709993757,0.003556486721335281,0.0030933719566589167,0.0032172342769155667,0.0034608218298585553,0.0031923208663168826,0.003349150444307296,0.0032193310074339087,0.0031494628088965474,0.003027212597841858,0.0029877427614678613,1.0,0.0,6.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.002862716291048737,0.0032902586588733954,0.002992633854372321,0.0030320120997644057,0.0027971468256802654,0.003011307980135184,0.002980634847282737,0.0029910201879780204,0.003063599981771004,0.0030234344207242646,0.0028450478164444965,0.002814100754527776,0.002933877855758217,0.0029928007170949116,0.002686111165217173,0.0027551349771755738,0.002645749887467309,0.002719247204214377,0.0026255932735732945,0.002480832313950291,4.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
