t_shift,absolute_ATE,relative_ATE
0,0.001865824474657611,0.09967564023907355
1,0.02389589337819414,1.2843003083460405
2,0.022112349501380572,1.15146646016536
3,0.020137431874430685,1.0261393753764267
4,0.017931083210170853,0.8994367813609233
5,0.015234645588634917,0.7496911140884399
6,0.006225217611057964,0.2912601736092382
7,0.00494776371210617,0.23163800929864778
8,0.0033451723744817074,0.16352551116494685
9,0.0028676115818239865,0.14424601513602844
10,0.0023890568577423126,0.12363701394256157
11,0.002273132066538426,0.12128087780113503
12,0.0021709319364798304,0.11600435228448465
13,0.0021002756757858175,0.11100076760844128
14,0.0021409974670205624,0.11321039908400497
15,0.0020471191680592523,0.10966485415902817
16,0.0024613458516756495,0.12848506711806162
17,0.0019849276180487463,0.1047500665186016
18,0.0021615547250467913,0.11386217105588915
19,0.0022199760088909637,0.11576077407407487
