t_shift,stim_15,stim_15_std,stim_15_se,stim_20,stim_20_std,stim_20_se
1,0.03126560688884203,0.06973291824965089,0.00494323551175603,0.0459204048833836,0.0946423476847637,0.006709018147159318
2,0.02420055772835526,0.06658290540541992,0.004719937021675011,0.036733825711920264,0.09169725939355679,0.006500246373486649
3,0.017823454624336637,0.06297275017567949,0.004464019902722456,0.0286763593349305,0.08828343646804632,0.006258246882574554
4,0.013276805722315625,0.0593855085819589,0.00420972708836119,0.022820035636541672,0.08489829919823427,0.006018280863880255
5,0.009332991838591586,0.056502767709352586,0.004005375006011195,0.017665948482614918,0.08205220301695879,0.005816526454825035
6,0.008599366370052073,0.05459505883936743,0.003870141109755178,0.016221594015174715,0.08025831697337517,0.005689361244802717
7,0.00743702064377641,0.05210444633964052,0.003693586270753655,0.014840572390557683,0.07762488876484237,0.005502682468625949
8,0.006818066332905845,0.05013400009919915,0.0035539050402208323,0.013956564306003484,0.07535554624985429,0.005341813042965809
9,0.006530422278116822,0.04832448054337576,0.003425631599899009,0.013363509586930397,0.07334716209383868,0.005199442464902211
10,0.006308354203862012,0.04668043293560709,0.0033090881549703967,0.012715479114725585,0.07125727479551534,0.005051294282265504
11,0.0069488270533225715,0.045695678922269056,0.0032392807938092104,0.012429408299870855,0.06971027125045175,0.004941630108547819
12,0.007224849848865292,0.04431182374451663,0.003141181901212994,0.011838412776679486,0.06831543103402428,0.0048427525072063
13,0.0078217733147481,0.043566712788117676,0.0030883623859492937,0.011376602864360456,0.0669555929089459,0.004746356138334116
14,0.008617153979828773,0.04236548495964924,0.003003209602895868,0.011111876162216682,0.06559546148472947,0.004649938978037291
15,0.010032085476815287,0.041394248446477225,0.002934360471915321,0.011273043480788735,0.06419214184429817,0.004550460286265211
16,0.007868295020834989,0.040018510044993356,0.0028368369623333082,0.011529330774117368,0.06313401939451409,0.004475451974540279
17,0.007032729455801709,0.038633449565843955,0.0027386526281864233,0.012214639196164851,0.06206408242205656,0.004399606153508413
18,0.0057618237345769974,0.03731992107362266,0.0026455390621485625,0.01281392802889494,0.0610721848410005,0.004329292398258026
19,0.004910216768806976,0.03616139666101849,0.0025634134439847197,0.013875961074723296,0.06012550069210746,0.004262183738235067
20,0.003735162332529426,0.03495005217971604,0.002477543510426133,0.014677783718879907,0.059217842114943506,0.004197841527643454
21,0.003634323360632114,0.03398832306117972,0.002409368340782169,0.013308082428643928,0.057782390657657556,0.004096085071766269
22,0.0034163373778466595,0.03283932062929063,0.0023279177179346645,0.012074683050534479,0.05657683683579132,0.004010625627171575
23,0.0032936374389403895,0.03206662494670397,0.0022731427732769873,0.010951082031821857,0.055254165129719424,0.003916863915888508
24,0.0029833741612483467,0.03139584090690706,0.0022255921534338275,0.009551087879743042,0.054106814552491306,0.00383553038991326
25,0.0028899408929183856,0.03064898756104379,0.002172649123455822,0.008408886942714366,0.05300701228878265,0.0037575674745163913
26,0.0036270907006429264,0.030026533741059486,0.0021285245420585705,0.008156305993516078,0.051866839074236025,0.0036767427382917873
27,0.004464531936552709,0.02914372383528566,0.0020659438070787456,0.007985287967347982,0.05091118761293305,0.003608998402346144
28,0.0051440939261768615,0.028787453321822202,0.002040688459989454,0.007545265220666417,0.04993287244851362,0.003539647479082987
29,0.006267261263236222,0.028438827895287126,0.0020159750587435813,0.007765447580835582,0.04893441495244904,0.003468868703787
30,0.007304711279624845,0.02816864398324221,0.001996822229029155,0.007479359628891112,0.0481970463669844,0.0034165980306470538
31,0.006216569093170452,0.02711402677397624,0.001922062397216456,0.007231512688661505,0.04735598417755632,0.003356976712814181
32,0.004679357502754084,0.02614768008321644,0.0018535598965562932,0.007040058979028851,0.04640384607245641,0.003289481432086423
33,0.003870101264881203,0.025214239882536734,0.0017873900751301883,0.007124141232077963,0.04566589687786591,0.003237169600656799
34,0.0027178155052019416,0.02454163860589747,0.0017397106347827695,0.006900246458847288,0.04491458267292581,0.003183910348763017
35,0.0020485043906513494,0.023805697758070097,0.001687541171280497,0.007031288002625693,0.04415108050321559,0.0031297871149539515
36,0.0020454013125317198,0.023349071872811523,0.0016551718205024873,0.00810519066964485,0.04343444425780142,0.003078986118433767
37,0.0014196271618980272,0.02257099246558406,0.0016000152337237298,0.008339752625032634,0.04297067144100966,0.0030461101351120213
38,0.0017146144931362453,0.022132239922730626,0.0015689128905958883,0.009400622453214616,0.04233526545683001,0.003001067399138543
39,0.002019105388829504,0.02146340869048256,0.0015215007016095665,0.010443195582680597,0.04162656644867658,0.0029508290584497414
40,0.0015896643146785774,0.020877320952362322,0.0014799540434056384,0.011111336759519554,0.041305073956573686,0.002928039059929439
41,0.0025663997673635135,0.02090958535485332,0.0014822412062573075,0.010043393332337683,0.040367414387817005,0.002861570135430655
42,0.0031732569076445543,0.02053505639700869,0.0014556915523625657,0.008813258348784528,0.03941941387874348,0.0027943681611085993
43,0.004206490159622098,0.020183318491164306,0.0014307575133083582,0.007670774005096864,0.038599893830738544,0.0027362739251927766
44,0.004921975153389937,0.02038332277307003,0.0014449354409447738,0.0065938062085416135,0.03788231049712698,0.002685405791370331
45,0.005922762780521693,0.02040569571086412,0.0014465214164550786,0.005357210165776775,0.03706942356710886,0.0026277817647216532
46,0.0047686522970974785,0.019547219202600285,0.0013856656302901373,0.005369722515638693,0.03634955898869491,0.0025767519177427632
47,0.0037190843156173618,0.01877529935865583,0.001330945683375618,0.005099465299342732,0.03565370624774656,0.0025274242247915815
48,0.002824444764087435,0.01810704425248671,0.0012835743348842044,0.004713799426769194,0.03516616124087679,0.0024928630755950173
49,0.001831132418342824,0.017405894825375797,0.0012338711698060753,0.004845249371288017,0.034666270227035216,0.0024574267411685323
50,0.0010235569028052228,0.01691027151168772,0.0011987373646223326,0.004522209857648911,0.03392500921270146,0.0024048801410618704
