t_shift,stim_15,stim_15_std,stim_15_se,stim_20,stim_20_std,stim_20_se
1,0.011849727755532622,0.015492236579090558,0.0010982155334459934,0.01646527155128601,0.020250335801829753,0.001435508244502452
2,0.00734440526772958,0.0099610645136137,0.0007061211415576253,0.010725553191112791,0.01358245743410815,0.0009628348792865016
3,0.0036973921755153994,0.005716821453691237,0.000405254728091015,0.005918941668683457,0.007756857988300758,0.0005498690837825177
4,0.0012477487650572638,0.0031654719083088157,0.000224394354078199,0.0026757012793902886,0.004070103895194218,0.00028852201537343987
5,-0.000869320168715166,0.002811736233633699,0.00019931869694638567,-0.0003785399008097927,0.0025614719761717975,0.00018157793410637473
6,-0.000885261776808512,0.002705702415002817,0.00019180215883411617,-0.0005543797296376351,0.0026448427771643395,0.00018748793349338507
7,-0.0012588505197945426,0.0028339064866712907,0.00020089030451524842,-0.0008694350836258706,0.002596339561972371,0.0001840496317301789
8,-0.0011906750337512503,0.00299791609907671,0.0002125166376827388,-0.001083785460975556,0.0027939689060249577,0.0001980592044858794
9,-0.0012528837457775573,0.0029587202229318997,0.00020973811569144975,-0.000985889361406366,0.0029586667416394343,0.0002097343245031449
10,-0.0009714770422123238,0.0027751223458029927,0.00019672320725383854,-0.0009379501288674111,0.0029017499448441755,0.00020569959975340113
11,-0.0002605369882594909,0.002415179292201941,0.00017120752069672919,-0.0008184512468776858,0.002910167919717276,0.00020629633417057846
12,0.000117947964089368,0.002087808200316678,0.0001480007992866772,-0.0009592495049743497,0.0028822358334694566,0.00020431628107480337
13,0.0008547330375563591,0.002744672111322516,0.00019456464736270784,-0.0011951465052216562,0.0027238336136615484,0.00019308744542946086
14,0.001680899653461805,0.0035881243307606687,0.00025435538993093514,-0.0010704344946063135,0.0025729443826641905,0.000182391191440242
15,0.0030648163031149808,0.005034405525940627,0.00035687954557294164,-0.000690028208763354,0.002589174004564546,0.00018354167883319735
16,0.0013191739177347461,0.004122176278211695,0.0002922133287355483,-0.0004381352404545053,0.0023064089742356733,0.0001634969972898224
17,0.0007519257462121812,0.00264002628313461,0.00018714650128421408,0.0005422683912744752,0.0027452038452466456,0.00019460234098119596
18,3.4169229341325733e-05,0.002255006129170392,0.00015985314621474908,0.001084803063548156,0.002841577759959114,0.00020143410666047042
19,-0.00041178984324220476,0.0024986580664461285,0.00017712517410461303,0.0024584095165085663,0.004420663148286778,0.0003133725019493475
20,-0.001332469504969552,0.0027543135835152387,0.000195248113205311,0.003252498285470374,0.005883553147964836,0.0004170740245259901
21,-0.0009263303799712319,0.003086293804814136,0.00021878156713664063,0.0022993424614923684,0.0042398628143194995,0.0003005559060884841
22,-0.0011591628604237032,0.0029381821053743092,0.00020828220713916697,0.0012695419611588607,0.0031217390936114243,0.00022129421704008968
23,-0.0010062980547013661,0.0031641213466330866,0.0002242986152993861,0.0008122558467370312,0.002461844020878442,0.0001745154956062877
24,-0.0012967259704346889,0.003056293155746864,0.00021665487751045665,-0.00036587218010001156,0.0022373335407461867,0.00015860036963697238
