in_degree,out_degree,te_out_shift_0,te_out_shift_1,te_out_shift_2,te_out_shift_3,te_out_shift_4,te_out_shift_5,te_out_shift_6,te_out_shift_7,te_out_shift_8,te_out_shift_9,te_in_shift_0,te_in_shift_1,te_in_shift_2,te_in_shift_3,te_in_shift_4,te_in_shift_5,te_in_shift_6,te_in_shift_7,te_in_shift_8,te_in_shift_9,1_source,1_mediator,1_sink,2_source,2_mediator,2_sink,3_source,3_mediator,3_sink,4_source,4_mediator,4_sink
3,5,0.0031818884484130575,0.0032103672342656134,0.0028568218414736835,0.0026105662756131043,0.0027420333674062452,0.0023440287772261157,0.002426182498008848,0.002575473516751772,0.0025001854797180633,0.0026815788873117115,0.002401908117979208,0.002531578557656721,0.0026783672772372545,0.002354622793846215,0.002264698103592369,0.002464070191861683,0.0023450849886521513,0.0022453657780579415,0.0024655119554640777,0.0025224407702950954,5.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0.0033200130613717568,0.0032339634109825265,0.0030275915490816808,0.0028796848801889334,0.002876424997424451,0.0028283479437137726,0.002887775292677904,0.0026902322506000874,0.002464479958576783,0.0027817841584172236,0.003360444458207142,0.003443515621802148,0.0029416408374695873,0.002962124914188786,0.002868737113625913,0.002679240234057155,0.002959189319125624,0.002751556249750687,0.00275856086532596,0.0028432354018238723,4.0,0.0,6.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0035564116873757256,0.003260022985259668,0.003205398708996525,0.00303896288758274,0.00294569183711074,0.002592798207240754,0.0027542304833964937,0.002412989191555461,0.0023928038171327896,0.002589552838036876,0.003045985275620398,0.0025870016732265615,0.002531951814040222,0.0026662917540176195,0.0027566806720231486,0.0024490042775997737,0.0030788121891025767,0.0028157447887498417,0.0026494052409492463,0.0027290393605542756,3.0,0.0,4.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0028544345343046906,0.002754501514459239,0.0026696713163054985,0.0028143023570988746,0.002782990768601002,0.0027004176654393318,0.0027072085008614335,0.0028960756735690626,0.002809298600061802,0.0024167858871631514,0.0029961759001176608,0.0030149906330290267,0.0026925600745351906,0.00295196298492307,0.002672851040295505,0.0026959051477836796,0.0026191508572944496,0.0027137100431932747,0.0025155451277513604,0.0024435842959482715,4.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.002604985588751255,0.0026783198831557622,0.002556195446473145,0.002466337481160174,0.0023337644145403074,0.002645728369323091,0.002427104356751962,0.0027381779446364204,0.002332606732324725,0.0026633814756497,0.0027572003962130507,0.0024770449923542286,0.0023357314783696154,0.0023287580532933283,0.0025640327494387723,0.002473574021461564,0.0023241312526471095,0.002404127635438824,0.0024427779683269635,0.002618963656882052,4.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.003362164876538235,0.002790229038223475,0.002940780212551787,0.00257515490272461,0.002734957355455836,0.002794352087322185,0.0028285696949809026,0.0023911365508287774,0.0026712673065118027,0.0026089236595863473,0.002785817357622606,0.002960160337723113,0.002431018276974651,0.002879999943416939,0.0030964759911179325,0.0025100762848705824,0.002544293151902591,0.002827548597286419,0.00283597159643974,0.002825887568036707,4.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0.002997613398607485,0.0027406572573388487,0.0027277485479571635,0.0027751021750907568,0.002676296107446043,0.0027182138864929256,0.002695048921904386,0.002703896541190109,0.0026358259531341953,0.0026433847754726027,0.003467111905564456,0.0030582152352430056,0.0029765940761262016,0.0026271026703863216,0.0028576918925815415,0.002598775903366507,0.002705428950927213,0.0027537210152324804,0.002533726419688502,0.002686594853532105,6.0,0.0,5.0,4.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
2,6,0.0028070955658034916,0.0028208827280753546,0.002532509985528923,0.0026937530174947657,0.0026408172702515054,0.002256806340023184,0.002591564470228861,0.002613770100196021,0.002442640974538623,0.0028113952225284223,0.0031462191670283417,0.0027440160078578218,0.0027176728887734576,0.002475738247491256,0.0025458829235145714,0.0028058545124025874,0.00250438347327719,0.0023957109467517006,0.0026108493120469995,0.002539132854919096,6.0,0.0,2.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,2,0.00263164183925143,0.0027559046544681897,0.0025992892099602843,0.002376890334839055,0.002685380271723039,0.0025573508580585772,0.0024602452686549947,0.0026154076031688514,0.002491357477425623,0.0028021245691000783,0.002834547368872471,0.0028901382126837903,0.0024114740964936016,0.0026449846527683654,0.0024145925104591005,0.002223837627330116,0.002376876977271918,0.0025454511460425867,0.0026937525756295286,0.002542020948408209,2.0,0.0,5.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
2,5,0.002402637215163374,0.0024054272204917103,0.002802377351230833,0.0024579512866448835,0.002089178723285678,0.0023004706492944517,0.002299072592972632,0.0026151984712841072,0.0024453572770777496,0.0023309400686914064,0.0023169243926712507,0.0021928767506328634,0.0021583583701802645,0.0023055568601489385,0.0023449012495724724,0.0024469223672666236,0.002284649891113523,0.0023100637878215734,0.002278484320064553,0.002351300397746203,5.0,0.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
