in_degree,out_degree,te_out_shift_0,te_out_shift_1,te_out_shift_2,te_out_shift_3,te_out_shift_4,te_out_shift_5,te_out_shift_6,te_out_shift_7,te_out_shift_8,te_out_shift_9,te_in_shift_0,te_in_shift_1,te_in_shift_2,te_in_shift_3,te_in_shift_4,te_in_shift_5,te_in_shift_6,te_in_shift_7,te_in_shift_8,te_in_shift_9,1_source,1_mediator,1_sink,2_source,2_mediator,2_sink,3_source,3_mediator,3_sink,4_source,4_mediator,4_sink
6,7,0.004374425563772701,0.004464276807404724,0.004193911500906015,0.004359420819302396,0.004344392351899408,0.00402811356181397,0.003894109625979271,0.004324509173538296,0.003944641631005765,0.004320784600889065,0.0036762932664673492,0.0039904972757205245,0.004007314489206486,0.0038048164640177872,0.0037542527841976673,0.0036705163710657237,0.003585153127117459,0.0036905946536943076,0.003760162814452065,0.004149572899646891,7.0,0.0,6.0,8.0,9.0,8.0,4.0,11.0,1.0,0.0,0.0,0.0
6,4,0.00399188307208092,0.004471237321412069,0.004217549853393239,0.004151745324775594,0.003954592046983318,0.004249311011516101,0.004123087880595009,0.004101438842462163,0.0038990014351276817,0.003917400504791159,0.004315654664695423,0.004040552021454086,0.004295483907433246,0.003889716608721163,0.0041236792237401496,0.004072290399571939,0.00439263032583123,0.004090308572510243,0.004101449425754288,0.0039687100968062786,4.0,0.0,6.0,5.0,8.0,15.0,2.0,7.0,14.0,0.0,0.0,0.0
7,7,0.0043423466514714675,0.003930533705777003,0.004690643717721585,0.004369842154611695,0.004286500770143364,0.004046835417257585,0.0043174746393535145,0.004318980559722765,0.004082031884136641,0.004192937854828582,0.004930355336896776,0.004722335453446299,0.004365932341681845,0.004326620245685744,0.004858767920643964,0.004180692860933061,0.004333762030149294,0.004471084939562293,0.004323995092543512,0.004426625551372068,7.0,0.0,7.0,12.0,15.0,13.0,6.0,23.0,6.0,0.0,5.0,0.0
6,7,0.004679303076760268,0.0044198891871632005,0.0042106901956596885,0.004388315338863104,0.004201156537699842,0.004298036598547855,0.004386670747841648,0.00433531999761841,0.00442414993449646,0.004142024059232508,0.004634437508115999,0.004076478309164835,0.004073758273496046,0.003966847027566994,0.003895397307006343,0.004007556284548503,0.003971600783780956,0.004032538735231463,0.0036655160887498484,0.0036893269058594375,7.0,0.0,6.0,14.0,13.0,7.0,8.0,19.0,2.0,0.0,5.0,0.0
6,5,0.004488750626563018,0.004452065466396984,0.004037107027892312,0.004040496792127084,0.003839802185353926,0.004409858120722818,0.003905510298439339,0.004303367991914863,0.003975512440296135,0.004330509766599841,0.0038738212118746215,0.0037971914872879514,0.0037586706208387814,0.003804471792531672,0.0036716659289789473,0.004022653766378367,0.003610860449193778,0.003579359987618364,0.0036049316757310124,0.004251132205725695,5.0,0.0,6.0,3.0,7.0,12.0,0.0,2.0,9.0,0.0,0.0,0.0
5,7,0.005126480502090097,0.004751086112677584,0.0046279405479202436,0.004059983509384864,0.004495533259326749,0.004350627444381591,0.00442081926521703,0.003987572573237157,0.00416057422595388,0.004035522754658585,0.004121404664284834,0.004132880990721477,0.003863308142564422,0.004043556864014816,0.003946876834431072,0.0035626033990078854,0.0037129018515768466,0.004029368767361218,0.003990244119415332,0.004008698283373847,7.0,0.0,5.0,12.0,7.0,5.0,9.0,4.0,0.0,3.0,2.0,0.0
5,7,0.0048334714008324885,0.004636302114034244,0.004614706060553142,0.004581404372020585,0.004574293013214798,0.004480546208221663,0.0044790127161543885,0.004361355177644472,0.004632441364237657,0.004140751276024916,0.004897687927796218,0.005079801317059925,0.004953641609561945,0.004531911564378667,0.004427361383291289,0.004530828671956614,0.004595654956460159,0.004565189439176451,0.0042016279563306756,0.00466606969210402,7.0,0.0,5.0,14.0,9.0,7.0,8.0,8.0,1.0,2.0,3.0,0.0
6,3,0.004107130011494284,0.004177892815519076,0.004278134839126093,0.0045760912911955295,0.004200524662939217,0.00416500754765954,0.00411631687386677,0.00394061258167529,0.0039602695948889426,0.004409569091799509,0.004561507477636101,0.004356201450852299,0.0040036796732089205,0.0039468366037706485,0.004160639085716235,0.0042899856322293345,0.0043275253419028485,0.004118963676662302,0.004199067242891709,0.004104641787420285,3.0,0.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4,0.004636013346414093,0.004666721761790913,0.00493835443443385,0.004465725387928216,0.00472028506553613,0.004758126315102108,0.00439017687330374,0.004740351944892101,0.004903511757906341,0.005316471543073823,0.006231154530474037,0.006442945981500987,0.0059561071075306575,0.005655225725429063,0.0056490522980676815,0.005586546949195308,0.005606303313151231,0.005429780529538046,0.005506851294104361,0.005547090724774939,4.0,0.0,10.0,3.0,6.0,12.0,0.0,1.0,10.0,0.0,0.0,5.0
4,4,0.003787928048456427,0.0038778078875389347,0.003972652764430761,0.0038068354741858513,0.0037060449148544118,0.003910956462610479,0.0038017384950966957,0.004041969175758021,0.0043063152956423515,0.00371688861092566,0.003908324060214561,0.003699062270218853,0.00377230231949271,0.0038050271636477953,0.0038632497586645774,0.004015925566546491,0.004053689954226956,0.0038417088454562693,0.0037639989329982214,0.003856990478052544,4.0,0.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
