t_shift,absolute_ATE,absolute_ATE_std,absolute_ATE_se,relative_ATE,relative_ATE_std,relative_ATE_se,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
20,0.00030657885825855635,0.0024801365924058206,0.00022454101668081063,0.0187918768069215,0.14105233752621088,0.012770278608976636,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.01827111348560597,0.004038523815219919,0.01796453462734741,0.003365830295776724,0.00027701603477588296,0.002148261204920892
21,-0.000395227076139013,0.002751189702135964,0.00024908101218737384,-0.015760356678192516,0.15785373928085014,0.01429140605139298,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.01757857636979574,0.003657197795212371,0.017973803445934758,0.0033746982537816487,-0.0002879795774277116,0.002393261384237662
22,0.0005853505843784215,0.0026141462443126386,0.00023667368049309266,0.0363678385634142,0.14822734722331785,0.013419873464766518,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.01854613561860328,0.0039900117269200145,0.017960785034224866,0.003367958193521901,0.0005333186158107612,0.0022623031828757074
23,1.2756438549186115e-05,0.0021552936189995465,0.00019513111573680363,0.0024960982689809235,0.12262080613723643,0.011101566163969736,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.017981246846004686,0.0038295680078607596,0.017968490407455497,0.0033661165170500444,2.363551956099109e-05,0.0018718784502093474
24,5.7512289479116175e-05,0.0026547905548148943,0.00024035344346679812,0.01062994158891741,0.14864283803646586,0.013457490235508688,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.01802542607303217,0.0036697541953664287,0.01796791378355305,0.003373347063813732,0.00010335383066277972,0.0022849575676723837
25,-9.735926339679086e-05,0.0025440982560089747,0.00023033183361324282,-0.007795256603189548,0.1451071237740784,0.013137381706970264,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.017872614532820897,0.004400417835088046,0.017969973796217693,0.00336028016598102,-0.00010488650773006808,0.0022135632905367036
26,0.0003836225277930788,0.002706119182406945,0.00024500051905918305,0.022442991749869398,0.1579513644076307,0.014300244615078552,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.018347127185633173,0.004289363123209723,0.01796350465784009,0.0033638718259556893,0.00033705028194277455,0.0023844100637926747
27,0.0001868680114101901,0.002833917784072102,0.0002565708608041287,0.00948395945188632,0.153649589705433,0.01391078023310825,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.018153134932042563,0.004512508596315294,0.01796626692063237,0.003361329354498095,0.00014762556813726008,0.0024017559704844972
28,0.00021923444878933752,0.0026984750024495476,0.0002443084475238568,0.006709612846816056,0.15032843521498485,0.013610097033593067,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.018184964347822036,0.004735464544185871,0.017965729899032695,0.0033556708001443994,0.00014485216157019085,0.0023127207849754808
29,-0.00013349908642199535,0.002646186717825903,0.00023957448866617157,-0.010408781996966371,0.15288375028084394,0.013841444389454307,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.017836927476436407,0.0044791347876981585,0.0179704265628584,0.0033598935374183135,-0.0001396561959356728,0.0023173447081247913
