t_shift,absolute_ATE,relative_ATE,p_sink,p_sink_given_second_last,p_sink_given_not_second_last,correlation
0,0.019852387683943495,0.9693118443217388,0.019203325,0.038639996956292944,0.01878760927234945,0.019433476734768612
1,0.033884262390140106,1.6738731733610082,0.019203325,0.052445224743679096,0.018560962353538987,0.03114538998840862
2,0.02387941504262476,1.1484910211647386,0.019203325,0.04262978364173886,0.0187503685991141,0.021871502579487345
3,0.016100967438647813,0.7576482545833062,0.019203325,0.03499908978693672,0.01889812234828891,0.01468091294764403
4,0.010366030881656383,0.47733648450501787,0.019203325,0.029375873171220954,0.019009842289564566,0.009322835653817873
5,0.0058479099933465735,0.2631323537213177,0.019203325,0.024945438947775185,0.01909752895442861,0.005134827526869612
6,0.0007784042523074755,0.03213575828169121,0.019203325,0.019964282125030174,0.0191858778727227,0.000737324112198781
7,0.0007704410695726275,0.03778147453986089,0.019203325,0.019957413474186707,0.01918697240461408,0.0007682225140789531
8,0.00012311148033837313,0.005424413317183246,0.019203325,0.01932333671807016,0.019200225237731783,0.00012568721440720494
9,0.00023314903543214402,0.01143336979051248,0.019203325,0.0194320340161697,0.019198884980737553,0.00021739575133169228
10,-0.000263844868978779,-0.013933361340888526,0.019203325,0.018944377034076084,0.019208221903054865,-0.0002548116301796222
11,0.00017033879474842012,0.009477878007970265,0.019203325,0.01937097393536429,0.01920063514061587,0.0001600009874876072
12,-7.630653629305613e-05,-0.004162426016192887,0.019203325,0.0191287273929831,0.019205033929276152,-8.183230011506604e-05
13,2.483400475167802e-05,0.002800509809663745,0.019203325,0.019228974297099265,0.019204140292347585,3.1694404670263567e-06
14,0.00016804941431171187,0.00969981178304401,0.019203325,0.019367924221650915,0.0191998748073392,0.00017878741649520133
15,-3.3364421436611745e-05,0.0008723860286992158,0.019203325,0.01917129322768657,0.019204657649123182,-2.934679279932635e-05
16,-0.0002093457410924874,-0.010863244099556347,0.019203325,0.01899768949512298,0.019207035236215465,-0.00020307023252707265
17,-0.0002241075517064254,-0.007750029633123695,0.019203325,0.01898322884880708,0.019207336400513503,-0.0001864724124604178
18,7.483809549311193e-06,-0.0010397145437890437,0.019203325,0.019209656421929865,0.01920217261238055,1.292611198600099e-05
19,8.768701975697488e-05,0.005995094531022622,0.019203325,0.019288898643538433,0.01920121162378146,0.00010240205792497675
20,7.452527236498035e-05,0.002533984385936241,0.019203325,0.01927623579501795,0.01920171052265297,6.190116964329431e-05
21,2.7888510011881002e-05,0.0015879880482475817,0.019203325,0.019230649897407567,0.019202761387395684,2.7121747952123278e-05
22,-0.00012420155399489718,-0.007623619794534329,0.019203325,0.01908135982615816,0.019205561380153054,-0.00013435020178248055
23,-0.000353596275682469,-0.01775200443539732,0.019203325,0.0188567754891474,0.019210371764829866,-0.0003497752265419417
24,0.00024332012487129188,0.012888836703145707,0.019203325,0.01944116370895786,0.01919784358408657,0.00025607750413048866
25,0.00016016184245843488,0.012048902148848168,0.019203325,0.01935890449536554,0.019198742652907105,0.00022826147864618397
26,0.00018148910082639415,0.010176059126121677,0.019203325,0.019381131049003707,0.019199641948177314,0.00018622337884110143
27,0.0003602548133629979,0.020599212742092046,0.019203325,0.01955667694944924,0.01919642213608624,0.0003653755871719305
28,0.00012372486561910273,0.008621869761819369,0.019203325,0.019325817438306192,0.01920209257268709,0.00010859747974349706
29,3.587357120852171e-05,0.0018524284649434563,0.019203325,0.019237842562588345,0.019201968991379822,5.022745209387034e-05
30,1.0762791068094566e-05,-0.0009157204612794434,0.019203325,0.01921430196753272,0.019203539176464626,-1.5686019410333772e-05
31,7.486206815488365e-05,0.0046371872072579175,0.019203325,0.01927643129640664,0.019201569228251756,8.143122566782083e-05
32,-6.786904650145424e-05,-0.000913886055647112,0.019203325,0.019136834676312813,0.019204703722814267,-4.3485206204040525e-05
33,-4.980571579465699e-05,-0.001692317298368714,0.019203325,0.019155611863585376,0.019205417579380036,-7.321684668327176e-05
34,-2.5529840171643302e-05,0.0010812894516853933,0.019203325,0.01917884842333163,0.01920437826350327,-1.667136954587612e-05
35,-0.0002108915111938379,-0.011541138422890753,0.019203325,0.01899674213290662,0.01920763364410046,-0.00022311140058329986
36,-5.258670257744702e-05,-0.0019044975712860107,0.019203325,0.019151839082296795,0.019204425784874236,-4.3436154398048514e-05
37,0.00017066703263012264,0.009688949377406303,0.019203325,0.019371224044126268,0.019200557011496144,0.00016301527085965862
38,-2.705767161682331e-05,-0.0013557696082864296,0.019203325,0.019177924285377873,0.019204981956994698,-5.581054989416515e-05
39,-5.273022950539674e-05,-0.0038074368266851747,0.019203325,0.019151955717555003,0.0192046859470604,-6.993502896556592e-05
40,0.00011120757498260228,0.008679734155761381,0.019203325,0.019311215766974203,0.019200008191991604,0.00016446488295261441
41,-0.0001754955385449178,-0.009557100271771998,0.019203325,0.019030591672218194,0.019206087210763112,-0.0001612043176846003
42,-0.00032868343333662263,-0.017648220072567705,0.019203325,0.018880755567877543,0.019209439001214162,-0.0003300683663688131
43,0.00013552863845351203,0.005371124931220688,0.019203325,0.019335913351926172,0.019200384713472657,0.00012261041398733437
44,-0.0003096693772685351,-0.015689096743624238,0.019203325,0.018898939773209545,0.019208609150478083,-0.00029082192563503707
45,5.6311109631386634e-05,0.004032390691680437,0.019203325,0.019259686520806212,0.019203375411174825,3.236267098652983e-05
46,-0.00014790631648893914,-0.008961524143914996,0.019203325,0.0190588541307371,0.019206760447226037,-0.0001788550434645033
47,0.00016289382627417902,0.009245221281033793,0.019203325,0.019363765082640278,0.019200871256366096,0.00015519553250395896
48,-0.00015091030248316975,-0.007435782655208698,0.019203325,0.01905503323376008,0.019205943536243247,-0.00013809832164070693
49,0.00010673001067130952,0.006256357589421577,0.019203325,0.019309163134814053,0.019202433124142743,8.488251183081779e-05
