t_shift,absolute_ATE,relative_ATE,p_sink,p_sink_given_source,p_sink_given_not_source,correlation
0,-0.0001984098810355165,-0.012343752485308163,0.01792725,0.017731482098871848,0.017929891979907363,-0.0001827643148153666
1,0.020982338193818454,1.1351598588163576,0.01792725,0.03862863176781637,0.017646293573997912,0.01737284798234725
2,0.0177174579276892,0.926193442601884,0.01792725,0.035407487500141735,0.017690029572452536,0.01451330601387978
3,0.014763853260191266,0.7548694313866743,0.01792725,0.032493540494287265,0.017729687234095994,0.012009743280148512
4,0.011747939695009528,0.582665455538108,0.01792725,0.029518069381906646,0.017770129686897118,0.009424750526736924
5,0.009745137711695507,0.4784334189469299,0.01792725,0.02754205068881561,0.0177969129771201,0.007795582951803299
6,0.002891443520780399,0.12519632040288503,0.01792725,0.020780110202888488,0.01788866668210809,0.0021791994137913477
7,0.0018459950438387425,0.07598260104260059,0.01792725,0.01974867471304068,0.017902679669201938,0.0013604377280596307
8,0.0010973470951585144,0.045453482217648375,0.01792725,0.01900998422340744,0.017912637128248924,0.0008113990058704925
9,0.00023103215086617065,0.0031590704991845396,0.01792725,0.018155223470148564,0.017924191319282395,0.00011338838940559825
10,0.0003627432923064524,0.014722505283197731,0.01792725,0.018285237769454694,0.01792249447714824,0.00026328430784470266
11,0.0003115167546662666,0.015694464745463002,0.01792725,0.018234541205086222,0.017923024450419954,0.00025361943860569025
12,-0.00013317854309992345,-0.009217572579736119,0.01792725,0.017795929120882722,0.017929107663982643,-0.00013225861604387803
13,0.00038352678518247104,0.02072189724089319,0.01792725,0.018305665445123447,0.017922138659940978,0.0003217995320609291
14,3.858717741623281e-05,0.0037946452111237996,0.01792725,0.017965286150859985,0.017926698973443754,4.571530463240478e-05
15,0.0004106189665572358,0.021640277979114206,0.01792725,0.018332480028047667,0.017921861061490428,0.0003385047185135552
16,0.00024305641732265848,0.010608879439070948,0.01792725,0.018167070086845066,0.01792401366952241,0.00018349176519321007
17,2.7128646973187475e-05,0.003274511149991598,0.01792725,0.01795403096334689,0.017926902316373707,3.379156072839985e-05
18,-8.026394917083436e-05,-0.005972269489795317,0.01792725,0.017848057127625085,0.017928321076795917,-8.31835785733956e-05
19,9.603115621329445e-06,0.002185964247378109,0.01792725,0.017936759126816942,0.01792715601119561,1.985474446655945e-05
20,-0.00014910712810216843,-0.008296759722260981,0.01792725,0.01778020310200523,0.0179293102301074,-0.0001315073032553819
21,-7.327993424667244e-06,0.003089912618156716,0.01792725,0.01791997904062667,0.017927307034051338,1.941538026350458e-05
22,7.175706989786608e-05,0.005182948358541386,0.01792725,0.01799805112299367,0.0179262940530958,6.91050226973486e-05
23,6.265581908930711e-05,0.002385481179760922,0.01792725,0.017988999558178644,0.01792634373908934,4.553911765676759e-05
24,-3.3313301341788204e-05,-0.0006460672051363153,0.01792725,0.017894425593410503,0.01792773889475229,-2.2309229590499233e-05
25,-0.00012349551999836942,-0.004674182359104633,0.01792725,0.01780543411440195,0.01792892963440032,-9.250164072756038e-05
26,-0.0001097031799639361,-0.007568215230158266,0.01792725,0.017819049183859348,0.017928752363823283,-0.00011023544179397391
27,2.7344874131790316e-05,0.003088890608452517,0.01792725,0.01795427297398133,0.01792692809984954,3.1373957042509294e-05
28,-1.1216220042911647e-05,0.002466643578045632,0.01792725,0.017916269864122748,0.01792748608416566,9.159749934071131e-06
29,-0.0003068862887641508,-0.020288474225544074,0.01792725,0.017624449923185535,0.017931336211949686,-0.00028964064338434604
