t_shift,absolute_ATE,absolute_ATE_std,absolute_ATE_se,relative_ATE,relative_ATE_std,relative_ATE_se,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
0,6.806582639728282e-05,0.0025609674835680722,0.00030181291233820535,0.0076051994418601535,0.15570056898536985,0.018349488027359813,0.013392123287671235,0.00029046245343407914,0.017887397260273975,0.004197280847574671,0.01795453815086333,0.004777514129918582,0.017886472324466048,0.00419924991007845,8.294397833651401e-05,0.0022986688026470276
1,-0.00914623207224874,0.006302879258831977,0.0007428014441533552,-0.5363812963118768,0.358091024355967,0.04220143193402358,0.013392123287671235,0.00029046245343407914,0.017887397260273975,0.004197280847574671,0.008863745844238788,0.007927275960091535,0.018009977916487528,0.004187144514364655,-0.008130482574755066,0.005426443364345207
2,-0.009077441831763103,0.005502013029983592,0.0006484184539463568,-0.525236903562943,0.31224363607381117,0.03679826540835607,0.013392123287671235,0.00029046245343407914,0.017887397260273975,0.004197280847574671,0.008931563444735571,0.006918946616663897,0.018009005276498673,0.004196361146495037,-0.008007479248706914,0.0047267534249257346
3,-0.008334317738735726,0.005279808491078054,0.0006222313979012675,-0.47875625276684014,0.2993148429404861,0.03527459252550069,0.013392123287671235,0.00029046245343407914,0.017887397260273975,0.004197280847574671,0.009664689960338719,0.006417224718261111,0.017999007699074445,0.00420337025401648,-0.0073174415524017815,0.00451948503094905
4,-0.00793408497244441,0.00484092520959,0.0005705085071529998,-0.4528098944415084,0.2711068863960871,0.03195025296617403,0.013392123287671235,0.00029046245343407914,0.017887397260273975,0.004197280847574671,0.010059718017840268,0.005869167083987741,0.017993802990284677,0.00420708677270365,-0.006945637363916181,0.004122162072402408
5,-0.007408017779620861,0.004294844823520593,0.000506152316475892,-0.41975159117943106,0.23664040014423526,0.027888338607447802,0.013392123287671235,0.00029046245343407914,0.017887397260273975,0.004197280847574671,0.010578562791787286,0.005270703810267007,0.017986580571408145,0.004209985519764614,-0.006453913300608972,0.0036116734427004407
6,-0.0019319251491480723,0.0032829024103564848,0.0003868937593894554,-0.08984467853004953,0.16958642871123347,0.01998595228982037,0.013392123287671235,0.00029046245343407914,0.017887397260273975,0.004197280847574671,0.015981274387318174,0.003502641730446356,0.017913199536466244,0.0042230458775038915,-0.0015282359747072589,0.0026884980995267337
7,-0.0013415047119963428,0.0029591510963815596,0.0003487393011345013,-0.06324876795578639,0.1616978448977461,0.01905627377174115,0.013392123287671235,0.00029046245343407914,0.017887397260273975,0.004197280847574671,0.016563850800207836,0.004027460159061283,0.017905355512204176,0.004213552335621499,-0.0010702137804402532,0.0025144275338746746
8,-0.0008770726319502983,0.002931135424734652,0.000345437622567664,-0.04210950022847891,0.16074119242980042,0.01894353119718727,0.013392123287671235,0.00029046245343407914,0.017887397260273975,0.004197280847574671,0.017022034427189515,0.0044443205607512465,0.017899107059139812,0.0042073390780309715,-0.0007055790204458045,0.002491091354872992
9,-0.0005961134981385995,0.0023854064152868826,0.00028112284202254145,-0.02510154556327881,0.14968784809795782,0.017640882075214637,0.013392123287671235,0.00029046245343407914,0.017887397260273975,0.004197280847574671,0.017299244901346895,0.004138648964901333,0.017895358399485493,0.004207136623563502,-0.00045410286787836256,0.002165958017385673
