t_shift,absolute_ATE,absolute_ATE_std,relative_ATE,relative_ATE_std,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
0,0.007507384620392799,0.02229702105510266,0.37146901148222405,1.2455471478171183,0.024847425,0.08607317426175459,0.05593679999999999,0.16977434369188413,0.062467082524436265,0.1698338196163044,0.05495969790404346,0.16970754219013937,0.007681228836380169,0.027816242206745032
1,0.03549694143585378,0.06083740099818153,1.9922249557202631,3.086298770161669,0.024847425,0.08607317426175459,0.05593679999999999,0.16977434369188413,0.09004704335224244,0.16618989641112686,0.05455010191638864,0.16984798276651528,0.031781096313262924,0.052836006011085956
2,0.029400651245061134,0.05268929820934738,1.5758269506036375,2.4123087468276845,0.024847425,0.08607317426175459,0.05593679999999999,0.16977434369188413,0.08405843318026494,0.16520167799274682,0.054657781935203806,0.1698242931607636,0.026063550396769174,0.04473584760496663
3,0.023927229460131056,0.04728521895734164,1.2394552547830235,2.04215667457597,0.024847425,0.08607317426175459,0.05593679999999999,0.16977434369188413,0.07867547539731111,0.16553195195465675,0.054748245937180064,0.169798696180944,0.021119275429849652,0.04006129270343712
4,0.019608734030685956,0.04353478660426031,1.0029964780551541,1.804389324851464,0.024847425,0.08607317426175459,0.05593679999999999,0.16977434369188413,0.07443382859073516,0.16539364066814236,0.05482509456004921,0.16979367900130837,0.017420561728784686,0.036967817332545616
5,0.015203160869545063,0.03891653338507021,0.7683187141789127,1.614637969578199,0.024847425,0.08607317426175459,0.05593679999999999,0.16977434369188413,0.070098807607343,0.16592903566895026,0.054895646737797926,0.16977928320030136,0.013726075523263109,0.03404857481861447
6,0.005988099555897022,0.026928011759028054,0.2908385643189212,1.2316776593444971,0.024847425,0.08607317426175459,0.05593679999999999,0.16977434369188413,0.061025882479131904,0.16787738088683915,0.05503778292323488,0.16973646780098162,0.00602332011103583,0.027873833755978183
7,0.004387843837567499,0.023224393301429516,0.2273218317166232,1.1404306867034761,0.024847425,0.08607317426175459,0.05593679999999999,0.16977434369188413,0.059436140218126605,0.16783531895912687,0.055048296380559095,0.1697285944894375,0.004857195032856862,0.026460235664293473
8,0.0027590947231618352,0.021353974633600396,0.1552412951961912,1.0908442103193174,0.024847425,0.08607317426175459,0.05593679999999999,0.16977434369188413,0.057829021667651935,0.16814366332412667,0.05506992694449011,0.1697205684267044,0.003633458969564581,0.025781702163545774
9,0.002514806049597192,0.020191569263099597,0.15009329817438755,1.057550773013666,0.024847425,0.08607317426175459,0.05593679999999999,0.16977434369188413,0.05758109284513471,0.16832615458425354,0.05506628679553753,0.1697156726980581,0.003479163658546832,0.02529116992999108
