t_shift,absolute_ATE,relative_ATE,p_sink,p_sink_given_source,p_sink_given_not_source,correlation
0,0.00015887474803636303,0.011299116106651066,0.017249725,0.017406493978776777,0.01724761923074041,0.0001520328438276586
1,0.04326435445983838,2.5386792877219766,0.017249725,0.059931709036996225,0.016667354577157848,0.03645780157304691
2,0.0313925593209776,1.6799447739456679,0.017249725,0.048220203993054406,0.01682764467207681,0.025642515264914616
3,0.022861868437649334,1.1529866923844247,0.017249725,0.03980438550532167,0.016942517067672337,0.018246904478690068
4,0.01735060247678349,0.8392648113506,0.017249725,0.034367164879818925,0.017016562403035437,0.013623568105439637
5,0.012453428925115716,0.5719998105240072,0.017249725,0.029535878201411982,0.017082449276296267,0.009559518468669275
6,0.0019193623424181444,0.04536317195853288,0.017249725,0.01914346733019838,0.017224104987780233,0.0011132226377846017
7,0.0008592583959622364,0.01414680476666101,0.017249725,0.018097527709368465,0.01723826931340623,0.0004439847505093927
8,0.0002866268129157834,-0.004607649282073556,0.017249725,0.017532471399962998,0.017245844587047213,6.977837185292236e-05
9,0.00039487427010598914,0.010245260892778378,0.017249725,0.017639300270801204,0.01724442600069522,0.00023570887936553265
10,-0.00018853853146500214,-0.013968179459354389,0.017249725,0.017063717610598245,0.017252256142063247,-0.00019621855620173025
11,0.00015947243010677202,0.007030536603489646,0.017249725,0.01740709174006261,0.01724761930995584,0.00011962768318430631
12,6.467705094825273e-05,0.0026189620862664097,0.017249725,0.01731351196922553,0.01724883491827728,4.620030318852431e-05
13,8.597105956579649e-05,0.007406928442522428,0.017249725,0.017334552982109865,0.017248581922544068,9.071093275070436e-05
14,4.621654172992602e-05,0.0031031769808995574,0.017249725,0.01729535630720187,0.017249139765471943,3.939819411216324e-05
15,-5.338386658255412e-05,-0.002950544534516217,0.017249725,0.017197073338812544,0.0172504572053951,-5.020006693833505e-05
16,0.00019312715292891475,0.010096944816605011,0.017249725,0.01744021323733628,0.017247086084407365,0.00016050672333356135
17,5.721254455619967e-05,0.0010734893257583673,0.017249725,0.017306225923430795,0.017249013378874592,3.0361158084197313e-05
18,2.694574775083848e-05,0.001322039031328166,0.017249725,0.017276261779027163,0.017249316031276326,2.4518527472384708e-05
19,0.00033683091697264076,0.018634707006294316,0.017249725,0.01758201691870491,0.01724518600173227,0.00028671302237752737
20,-8.500244212193593e-05,-0.006289573633432192,0.017249725,0.017165859933972218,0.017250862376094155,-8.667616749780609e-05
21,3.946755547835784e-05,0.00045743122483484665,0.017249725,0.017288708868990775,0.01724924131351242,1.6936436119976363e-05
22,0.000265057745008817,0.011005593849537232,0.017249725,0.017511258003454506,0.017246200258445688,0.0001958911688834116
23,0.0003431211774402081,0.019411574693924835,0.017249725,0.0175881798252406,0.017245058647800394,0.0002977762655186534
24,0.00013633050173307893,0.01062323452299496,0.017249725,0.017384305192224433,0.017247974690491354,0.00013455376717013697
25,0.0001441692882008772,0.0055785457165586794,0.017249725,0.017392068386386413,0.017247899098185537,9.852662301921682e-05
26,-5.3859474981852726e-05,-0.0015445977272608947,0.017249725,0.017196597624748667,0.01725045709973052,-3.728594635985004e-05
27,-0.0002407254308459558,-0.013131956371718182,0.017249725,0.017012163307755002,0.01725288873860096,-0.00020484555364546465
28,-2.1826238614739442e-05,-0.003541758206077014,0.017249725,0.01722820004426483,0.01725002628287957,-3.78956889255299e-05
29,0.00015878660058188168,0.011375062949647545,0.017249725,0.01740630307493261,0.017247516474350726,0.00015759247699638466
30,-3.585779120019681e-05,-0.0013322412829584974,0.017249725,0.017214268683171975,0.01725012647437217,-2.5520941909876097e-05
31,1.5218626440005288e-05,0.001237269513493379,0.017249725,0.01726473798607034,0.017249519359630334,1.1616124350966793e-05
32,-0.00044941747409850104,-0.02454610731653839,0.017249725,0.016806335565084544,0.017255753039183044,-0.0003850545506401024
33,-0.00024984260831481335,-0.012211192484855488,0.017249725,0.017003147168405106,0.017252989776719917,-0.0002008085225493442
34,-0.00014446147305382552,-0.006613990498139519,0.017249725,0.01710721197881557,0.017251673451869398,-0.00011592907576299938
35,8.108923521257908e-05,0.003291534456192027,0.017249725,0.017329798725759762,0.017248709490547184,5.561640317177522e-05
36,-0.00017552074490589784,-0.008534713012160682,0.017249725,0.017076635049543928,0.017252155794449827,-0.0001459437215531232
37,-5.643522427655627e-05,-0.0023485177242903855,0.017249725,0.017194072793251955,0.01725050801752851,-4.4024313705437086e-05
38,-0.0002445765123706623,-0.010989542742114809,0.017249725,0.017008439931327585,0.017253016443698248,-0.00019471138111892768
39,-7.257448964592157e-05,-0.0023670815792447967,0.017249725,0.017178187398185295,0.017250761887831215,-5.7068087666829894e-05
40,-0.0002512502689865543,-0.013323035522253637,0.017249725,0.017001893404381144,0.0172531436733677,-0.00021350201716064754
41,0.00023481662904022943,0.015816284502478108,0.017249725,0.017481370960754194,0.017246554331713963,0.0002245830298885608
42,0.00016748768226684175,0.013770426692240174,0.017249725,0.017414877313281844,0.017247389631015003,0.00017967220299635835
43,-0.0002301764324055658,-0.010169231365253606,0.017249725,0.017022714273502052,0.017252890705907617,-0.00018189767895967313
44,-0.00044394324372472457,-0.024577389669935917,0.017249725,0.01681168236938916,0.017255625613113883,-0.0003808541724100667
45,0.00016234119613304672,0.01175790327513735,0.017249725,0.017409858323976856,0.01724751712784381,0.00016076584909556369
46,4.8115224727376196e-05,0.0023547239531459692,0.017249725,0.017297152591604262,0.017249037366876885,3.7811248843549134e-05
47,-2.488642980999111e-05,-0.004236849672808284,0.017249725,0.017225165019340526,0.017250051449150518,-4.804423300762972e-05
