t_shift,absolute_ATE,absolute_ATE_std,absolute_ATE_se,relative_ATE,relative_ATE_std,relative_ATE_se,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
15,0.009950971637708148,0.06574735019565364,0.00595248540028223,0.269461793960594,2.300050426469694,0.20823678129584666,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.03076478741608149,0.07302519211475243,0.020813815778373337,0.01297682573820779,0.007795506686865586,0.05800575819153425
16,0.010015915838348146,0.06491311710212123,0.005876957484785914,0.2730668521901336,2.2684186719346533,0.2053729768003829,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.030832267139879743,0.07219600665199259,0.020816351301531595,0.012995578077171211,0.007841929498379065,0.05754542077376228
17,0.009438257577611136,0.06440716360902718,0.0058311506078258255,0.25276249578013305,2.2345450910146276,0.20230620688065676,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.03026520609613643,0.07154325283089011,0.020826948518525294,0.013015450310743578,0.007441044056258983,0.05719769817236758
18,0.009646591212161592,0.06402681236379272,0.005796715224080324,0.2577302668501465,2.1924439761272554,0.19849455103510674,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.030473609918731267,0.07131906892830575,0.02082701870656968,0.013011382941442277,0.007546613668525118,0.0567762129936815
19,0.009265769677632547,0.06336213559207543,0.005736538216675765,0.24658227302025482,2.1596233749428606,0.19552311342131362,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.03010096886893782,0.0705288308600083,0.020835199191305276,0.013034893733257127,0.007308046073016266,0.05637090249299765
20,0.009646313212339568,0.06263979116171256,0.005671140224773205,0.2702811033216268,2.126657694529688,0.1925385409513077,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.03047892076199336,0.06982506326533099,0.020832607549653784,0.013049711294997608,0.00765841415325992,0.055909356013440645
21,0.008799856571375667,0.06197146229181062,0.00561063257193488,0.23622134939908232,2.1058045030718833,0.19065058170530794,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.02964663900178376,0.06901475502850926,0.020846782430408092,0.013076409834627307,0.007042146407599372,0.055589323372814865
22,0.009523410823403246,0.06138193824929237,0.005557259572935488,0.2759572989973108,2.07574153976364,0.18792880889394728,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.030362594791893627,0.06841409240314125,0.02083918396849038,0.01308841392446453,0.007660714479546122,0.05518762845193096
23,0.008753278637001866,0.060776822330449815,0.005502474951780873,0.23528472522950236,2.033847879271983,0.18413593508688308,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.029606119321966277,0.06784494971766687,0.02085284068496441,0.013099377199192144,0.00701370538210489,0.05472409291166338
24,0.00868585714944915,0.060027670181249486,0.005434649903053666,0.2387197930154782,1.9751850832862787,0.17882485508737736,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.029543876555514707,0.06707832927490728,0.020858019406065558,0.0131141763138769,0.007003080121104779,0.054065866877234955
25,0.008442798875582145,0.059505197854640826,0.00538734748117758,0.21801719645114293,1.9690273258124857,0.1782673579205386,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.029305490694863903,0.0665613527794936,0.02086269181928176,0.013127425633246932,0.006744609338513176,0.05387523022615167
26,0.00879551923816382,0.05899740360306818,0.005341373949775349,0.24572401204983424,1.9396885248127174,0.17561114768403158,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.029655943849389032,0.0659993689862157,0.020860424611225212,0.013141100404410556,0.007108081055074402,0.0534907694509244
27,0.008379817854675547,0.05827539273500568,0.005276006157184503,0.2245139418049973,1.9104198716097305,0.1729612883306394,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.02924926920820363,0.06531569769782697,0.020869451353528076,0.013157563970590407,0.006756812726468921,0.053051125167642176
28,0.008333467634124807,0.057935126807745915,0.0052451999276071914,0.21232898621837704,1.8817080644406226,0.17036184344835528,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.02920564071855912,0.06516080478973327,0.02087217308443431,0.013153357485951749,0.006632747574608539,0.05270494315234485
29,0.008049464584842398,0.05736263115186424,0.005193368606295843,0.20231872981628107,1.85544972710318,0.1679845252876738,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.028928237109921442,0.06454572776502226,0.020878772525079043,0.013168075732794056,0.006420141563008817,0.052340780273530244
