t_shift,absolute_ATE,absolute_ATE_std,relative_ATE,relative_ATE_std,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
0,-0.0002745128998624185,0.0023897447300966178,-0.0223701035542281,0.1455718583321895,0.013335373134328359,0.00026509124510903714,0.01722380597014925,0.003942224738358476,0.01695301145893498,0.004993500608577246,0.017227524358797396,0.0039357373527738855,-0.0002927713108468392,0.002141616984730759
1,-0.008427458726449809,0.005622455580598481,-0.4954187629002252,0.3307937097681319,0.013335373134328359,0.00026509124510903714,0.01722380597014925,0.003942224738358476,0.00890860058045667,0.006364345210205092,0.01733605930690648,0.003952813545142985,-0.00747254646523685,0.004927480182137956
2,-0.007733861351390977,0.00534580500137672,-0.45246122700216174,0.30633606121677154,0.013335373134328359,0.00026509124510903714,0.01722380597014925,0.003942224738358476,0.009592894012844402,0.005961685012157659,0.017326755364235377,0.003956280415072138,-0.006833850099563406,0.004612034403159585
3,-0.0071568493974309725,0.005163283542664713,-0.41087941085045226,0.2858704751738354,0.013335373134328359,0.00026509124510903714,0.01722380597014925,0.003942224738358476,0.0101623442584473,0.005373121892647942,0.017319193655878272,0.003964524564097252,-0.006266104909801562,0.004375493300253645
4,-0.007318699929257949,0.004791271832441885,-0.4184998768711575,0.2569514798178074,0.013335373134328359,0.00026509124510903714,0.01722380597014925,0.003942224738358476,0.010002764307236364,0.004781051551266034,0.017321464236494315,0.003968678670906928,-0.006395124836262584,0.003979061664105844
5,-0.006509056935473149,0.004410415537458756,-0.3653291169572921,0.221455668558507,0.013335373134328359,0.00026509124510903714,0.01722380597014925,0.003942224738358476,0.010801514419030642,0.003976756632780319,0.017310571354503788,0.003974945884059345,-0.005627994225567141,0.00353331127698826
6,-0.0021431473772445444,0.003160940523613692,-0.10485096934415829,0.1636621200416814,0.013335373134328359,0.00026509124510903714,0.01722380597014925,0.003942224738358476,0.015109337433921868,0.0026447954250216235,0.017252484811166417,0.003973962580381131,-0.0017334321058899624,0.0025596161360829863
7,-0.0013485684993858988,0.0028151133267207366,-0.06859225102348564,0.16123212057220554,0.013335373134328359,0.00026509124510903714,0.01722380597014925,0.003942224738358476,0.015893250731093867,0.0037319924308098305,0.017241819230479766,0.003958603687687932,-0.001111138861692728,0.0024262945030813217
8,-0.000882530386374414,0.002601370760105104,-0.0452313347735018,0.15198537497394543,0.013335373134328359,0.00026509124510903714,0.01722380597014925,0.003942224738358476,0.01635308683431104,0.004195507922661577,0.017235617220685454,0.003950152991592534,-0.0007336239503120974,0.0022712448403544414
9,-0.001146751417875997,0.002523795456356135,-0.06404084673479711,0.14764158930838844,0.013335373134328359,0.00026509124510903714,0.01722380597014925,0.003942224738358476,0.01609211442143516,0.004426397594960361,0.017238865839311154,0.003946083355497096,-0.0009840051074696814,0.002214957894423535
