t_shift,absolute_ATE,absolute_ATE_std,relative_ATE,relative_ATE_std,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
0,0.00012190505432515769,0.001984461025706367,0.0068342326563524056,0.1101230747087307,0.013426445783132533,0.0002835441893276868,0.019149036144578316,0.003727314632840585,0.019269303874269932,0.004225023882638602,0.019147398819944775,0.0037272477272387253,0.00010396480391269326,0.0017082603499755295
1,-0.010433048605442058,0.005452020345902664,-0.5431967122535465,0.256703539047829,0.013426445783132533,0.0002835441893276868,0.019149036144578316,0.003727314632840585,0.00885607330786296,0.005488039566958842,0.019289121913305018,0.0037510931139408815,-0.008748371669981447,0.004268941866531996
2,-0.010216025656851072,0.004644604952746138,-0.531263806338963,0.21342991003848466,0.013426445783132533,0.0002835441893276868,0.019149036144578316,0.003727314632840585,0.009070288833983458,0.004627044989384273,0.019286314490834535,0.0037522435634156142,-0.008561329917587733,0.0035740531003540994
3,-0.00936031156015304,0.004726968374527775,-0.486927394169489,0.21306258731851543,0.013426445783132533,0.0002835441893276868,0.019149036144578316,0.003727314632840585,0.009914461716274319,0.004856016499825372,0.019274773276427362,0.003749781604027532,-0.00784295331572204,0.0036104526375879947
4,-0.009342747095316377,0.004447600788321187,-0.4805604721290896,0.19249511203724123,0.013426445783132533,0.0002835441893276868,0.019149036144578316,0.003727314632840585,0.0099316579979309,0.0040554041630227545,0.019274405093247276,0.003757995597884933,-0.0077788143768886715,0.003320784882152627
5,-0.008223447958594116,0.004076050429846734,-0.42207654870838696,0.16782254786348363,0.013426445783132533,0.0002835441893276868,0.019149036144578316,0.003727314632840585,0.011035936187299533,0.0037234930075154805,0.01925938414589365,0.00375702916068079,-0.006835190160374246,0.0029694712787458736
6,-0.002667844870626722,0.0032824530949081285,-0.12717981890921934,0.15093184932874193,0.013426445783132533,0.0002835441893276868,0.019149036144578316,0.003727314632840585,0.016516984110339996,0.003375764000985451,0.019184828980966715,0.003751120747843111,-0.0021373299222431155,0.0025663668918044667
7,-0.002574824885309145,0.003002039174078456,-0.11940249697506881,0.1408708467519022,0.013426445783132533,0.0002835441893276868,0.019149036144578316,0.003727314632840585,0.016608659427556887,0.0029174609883715653,0.019183484312866036,0.003753060313772117,-0.0020356888880590208,0.0023632251604584413
8,-0.0011990096819769938,0.0026723733363405292,-0.05125942103931751,0.1375391286423171,0.013426445783132533,0.0002835441893276868,0.019149036144578316,0.003727314632840585,0.017966282226768264,0.003392207258947524,0.019165291908745257,0.0037444260067974393,-0.0009221319646152175,0.0022064466978624474
9,-0.0004032268208754309,0.002733345974649607,-0.011919863358402961,0.1442488053461547,0.013426445783132533,0.0002835441893276868,0.019149036144578316,0.003727314632840585,0.01875125558119737,0.0037367240291643795,0.019154482402072806,0.0037405296304486293,-0.00026867666278061633,0.0022830891660229375
