t_shift,absolute_ATE,relative_ATE
0,0.001863439985388235,0.11026664341844372
1,0.05176989410189611,3.0652624190253857
2,0.03938947393704495,2.177782230780659
3,0.030350984437907028,1.6148495361084962
4,0.02408786045314864,1.2530388046624679
5,0.01901103824044951,0.9741450703436243
6,0.005612163345832358,0.2723074138302231
7,0.0038099314507281513,0.1925750589359674
8,0.0028139114175579983,0.14956879277916701
9,0.0024273451846790906,0.13620664836579446
10,0.002100625109180191,0.11932749609781651
11,0.0020591069347280356,0.1224343666206748
12,0.0022140179290386073,0.13387759119621598
13,0.00193200658585128,0.11443455602164229
14,0.0020974675162416054,0.1264745945211941
15,0.001995054039248079,0.11807888002054527
16,0.0019651390935978407,0.11581749768747962
17,0.002108704837668973,0.12356699921574105
18,0.0020505108740441107,0.12116903753299275
19,0.0019679130274482012,0.11794310826883944
