neurons,source_active_info,source_active_std,source_bloch_entropy,source_bloch_std,sink_active_info,sink_active_std,sink_bloch_entropy,sink_bloch_std
3,0.0009205094289267637,9.76154583612207e-05,2.045561056649588,0.031276400563833594,0.002679923257765947,0.0033126709596829674,2.472835202341065,0.4553251234512061
4,0.000912628100311029,9.463837169581437e-05,2.0469306032861194,0.03390515523963738,0.0026468203079976927,0.0036663039399281467,2.4744189110482213,0.44260420186560223
5,0.0009269542365644798,9.966658144318073e-05,2.047328020552895,0.034205800001436186,0.0035322806065343766,0.004405997823176332,2.6378632433673697,0.4754311557334885
6,0.0009117242872336694,9.703131434253717e-05,2.046016083902558,0.02891087270527441,0.002477654284113135,0.0026672360945143784,2.506330379506059,0.38988344455232055
7,0.000921769318738797,0.00011177507415059598,2.042588779348287,0.03322339435572663,0.0036041201241566218,0.003929638094585882,2.7194560966190324,0.46885397839621035
8,0.0009076320807587297,0.00010709810019617881,2.0452284797676246,0.03432498007163745,0.0032771821428067903,0.0038579395826476336,2.6742070040679344,0.4187706565256505
9,0.0009138353154357515,0.00010726686607671322,2.0425511503507363,0.03208133620945289,0.00357589583955984,0.0035010690675657784,2.736519365208266,0.4236576061309943
10,0.0009299369165976045,9.940723748028762e-05,2.0472313238646414,0.03482357325323855,0.0031191122972139295,0.002525975074271908,2.692198146088278,0.40543139971582254
11,0.0009251947676473002,9.866615855680554e-05,2.0457376689624387,0.03321291827392025,0.003199927361118732,0.0030578820777673217,2.6957209296429334,0.4353279786250346
12,0.0009166783555499682,9.311307521492068e-05,2.046959046544184,0.029398065665752624,0.003105586433368458,0.0028907141981622236,2.7009134008191236,0.4030778714052133
13,0.0009043101320706207,9.500927695385502e-05,2.0453491138792517,0.03198663518205016,0.003381283780472029,0.0026170299807147437,2.7804056423932035,0.39346657773067323
14,0.0009243280437362851,0.00010629051817364154,2.0439061258147477,0.034547031023972635,0.003239190953446198,0.0029639948013520045,2.7308486915034176,0.4142300921965171
