neurons,transfer_entropy,std,se
3,0.0028030861795387127,0.0031706996313592404,0.0002660792023394859
4,0.0022929946371316183,0.002131588960406238,0.00019219890391906244
5,0.001469724524335771,0.0015613000460062132,0.00013909166309784864
6,0.0011185561583135744,0.0011701610976091775,0.00010772206053110514
7,0.001080140719271929,0.0009169391658755998,7.98093103247986e-05
8,0.0008924959485367194,0.0008029589712230806,7.269648950121476e-05
9,0.0009585751513633296,0.0008012426177047896,7.1380365693648e-05
