change,source_active_info,source_active_std,source_block_entropy,source_block_std,sink_active_info,sink_active_std,sink_block_entropy,sink_block_std
1,0.0010032310154073618,0.0005560478293492858,2.063093725372992,0.09692892048595846,0.004750684711435044,0.016231443761737883,2.688071569906916,0.4443637540079926
2,0.001229973072246888,0.0021608338177592523,2.0843279052505728,0.13686830985231227,0.006652721521482281,0.028270492626500734,2.7023354020512573,0.4763577806070119
3,0.0027202656440947774,0.016087057219384665,2.1183625578953853,0.20482402045772374,0.008663509978449595,0.03525753303117205,2.7157680713524566,0.48937129726485856
4,0.002736500570584499,0.01297773724468675,2.1325132055156284,0.2199753748535406,0.012743957849289864,0.05606977020679367,2.7288990893042704,0.5108980285504122
5,0.0030485762283869056,0.01521196419281635,2.1570381813636264,0.23828743623654824,0.01147020011411088,0.04641194002519923,2.7108723970661357,0.5322105144948563
