neurons,source_active_info,source_active_std,source_bloch_entropy,source_bloch_std,sink_active_info,sink_active_std,sink_bloch_entropy,sink_bloch_std
3,0.0022060762801769545,0.00018246097579481817,3.0566087659285346,0.04660777974666466,0.005273340049139009,0.005183421417303073,3.6845630273954906,0.6644216804848077
4,0.002188374780574934,0.00017901792372130654,3.0587388821138677,0.05053282416630128,0.005228421092270967,0.005458864284163401,3.687145796116484,0.6458993019694718
5,0.002196401256364536,0.00019681415190268552,3.059217209652023,0.050886885287666044,0.006679544556843466,0.006590597535749064,3.9265619210139833,0.6907660429059299
6,0.002177555417542014,0.00017586791354206764,3.057390625909245,0.04308203294056289,0.00504248712168212,0.004219630597161555,3.735222355535396,0.5697579460943475
7,0.0021653346036251174,0.00020079822652775163,3.0523087847238877,0.049352461746492556,0.0069669495030504295,0.006076024949482993,4.0472699531103595,0.6822972465041373
8,0.0021888267163448997,0.0001928296084430839,3.05621949192922,0.05113694932050787,0.006379452643064592,0.0056565622045241055,3.981622337008977,0.6096050572516705
9,0.0021810980663987804,0.0001958207064902683,3.0521346018581643,0.047849193405096704,0.00693489705588201,0.005358932549410478,4.0726552183426055,0.6165954093639952
10,0.002207199350676062,0.00019085770781009448,3.0590264337244,0.05182006440148835,0.006270354285188065,0.004133739962644943,4.0086142038242905,0.5924768706415318
11,0.002197563940432232,0.0001780406904057216,3.0569170116175544,0.049489434346060054,0.006387666336193242,0.00493637151592963,4.013494948010048,0.6347063533485919
12,0.002193158674889018,0.00017902558865727324,3.058812754921707,0.043832032598824094,0.006289563449620316,0.004586204450630059,4.021404234817822,0.5877198793809526
13,0.002176459544990033,0.00017824850101224733,3.0564796471052373,0.047609716619657426,0.006777103237969483,0.0041636394859493,4.138459518969805,0.5745839383819953
14,0.0021866968112115278,0.00019277450784969786,3.0541658873506408,0.051395794308868516,0.006499413707838033,0.00465762615189787,4.065422393344946,0.604375354998608
