neurons,transfer_entropy,std,se
3,0.00019244606171877498,8.180473778511529e-05,1.0931617907385068e-05
4,0.00020051289991019754,7.725198609172352e-05,8.920290993097957e-06
5,0.00022004304462443396,8.37739650153651e-05,9.872856458208212e-06
6,0.00020637395889165153,7.507626243065503e-05,8.393781314577912e-06
7,0.00021297793828150186,7.702140741229964e-05,9.480679875706591e-06
8,0.00020752549269251405,6.948758951844875e-05,7.97077317213564e-06
9,0.0002205015899378686,7.687115300593479e-05,9.059352261354191e-06
