t_shift,conditional_entropy,std
0,0.1249874346358111,0.024131415036076465
1,0.12371712411916935,0.023527692462373653
2,0.12420231348549247,0.02340639185880179
3,0.12447374219677734,0.023479038700800713
4,0.12463670796613811,0.023594017143978525
5,0.12475073899000826,0.023721733148915604
6,0.12495098040832099,0.024028471555684897
7,0.12497352427105873,0.024090574252286563
8,0.1249822564373538,0.02411590271450139
9,0.12498500599451669,0.024124342473329688
10,0.12498665199827037,0.02412905087780027
11,0.12498680860153265,0.024131421623823604
12,0.12498613987432988,0.0241321450109828
13,0.12498735252926982,0.024131313341593116
14,0.124986918228582,0.02413192121343375
