t_shift,conditional_entropy,std
0,0.136071546635418,0.021651357389543147
1,0.13574389430302106,0.021601463093700465
2,0.13580937307072227,0.021546876697251003
3,0.13585532200011696,0.02151743578619533
4,0.13589916378006625,0.02151821800345039
5,0.13593828737416672,0.021519960614021397
6,0.13603961952760646,0.021603367289225822
7,0.13605186528288596,0.021619621483329673
8,0.13606473372258823,0.0216414375170698
9,0.13606784590861648,0.021646656117426184
10,0.1360696545824745,0.02164924490665536
11,0.13607025975030898,0.021651472502877602
12,0.1360704424035495,0.021651412701478624
13,0.1360708770147537,0.02165119195207964
14,0.13607050077961177,0.02165107992479655
