t_shift,conditional_entropy,std
0,0.13370970152915804,0.026396038081844663
1,0.13292789237322816,0.026052438261670342
2,0.13311354129240802,0.02593837438049762
3,0.13326844565438797,0.02593135210448859
4,0.1333696035216788,0.025957544598130166
5,0.13346088578758133,0.02603006354223482
6,0.13365083237102945,0.02626616233153403
7,0.1336846910160096,0.026337046557052483
8,0.13370098847133868,0.026376430172282615
9,0.13370683599185484,0.026389951716323325
10,0.13370936305861775,0.02639485477107224
11,0.1337089760902793,0.026396412681987
12,0.13370927164442992,0.026396874502534674
13,0.1337095130035472,0.02639597453893637
14,0.1337098418559885,0.026396371076797463
