t_shift,conditional_entropy,std
0,0.1385882342612492,0.023149260472478044
1,0.13812788432532305,0.022967846781859733
2,0.13822756759887012,0.022933907271207313
3,0.13829190100438143,0.022920571323715288
4,0.13835840483387923,0.02292597744613767
5,0.13839506708091343,0.02292931502309849
6,0.13854230422504552,0.023062544780280064
7,0.1385621722179086,0.023094116230297227
8,0.1385740284629951,0.023118824151546435
9,0.13858270527050534,0.023137400232073696
10,0.13858557341098318,0.023145052063172272
11,0.13858773259801505,0.02314817254118732
12,0.1385874461465333,0.023148097338820225
13,0.1385872405719978,0.02314894545105327
14,0.13858849377603844,0.023149559888417878
