in_degree,out_degree,te_out_shift_0,te_out_shift_1,te_out_shift_2,te_out_shift_3,te_out_shift_4,te_out_shift_5,te_out_shift_6,te_out_shift_7,te_out_shift_8,te_out_shift_9,te_in_shift_0,te_in_shift_1,te_in_shift_2,te_in_shift_3,te_in_shift_4,te_in_shift_5,te_in_shift_6,te_in_shift_7,te_in_shift_8,te_in_shift_9,1_source,1_mediator,1_sink,2_source,2_mediator,2_sink,3_source,3_mediator,3_sink
2,1,0.0011491863991976003,0.001104559414880673,0.0013093996575366442,0.0009962195732587929,0.0009378930173174905,0.0010131826886252643,0.0010005116527120252,0.0011231967933824471,0.0010639095164058005,0.0011973991793419842,0.0019742847562947623,0.0016924002665956873,0.001373803206795943,0.0010949280527076967,0.0011150573501574224,0.000995394772228148,0.0009791815993695453,0.000935005381582981,0.0011120439330904487,0.0011819588546478,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1,0.0010191374755762013,0.0011571126296958984,0.0012830343553559612,0.0010240651250112214,0.0010916810258610153,0.000826428266175589,0.001115313798090115,0.000948886817231865,0.0009962767649788484,0.0009338974539252705,0.0009318000539402309,0.0009082884125124601,0.0008483860898576736,0.0008042671485137858,0.000850169714055925,0.0007632438158868913,0.0007961860261254867,0.0008275467956944212,0.0007377366003684303,0.0008015193713886886,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0
2,2,0.0031393836423268605,0.002259924838082472,0.001514693766441498,0.0015004383502686591,0.001480002131602558,0.000975598548429062,0.0012513991544242222,0.0010750340403322006,0.0010196102379056726,0.0010596677640182363,0.0011990595578659615,0.0010743782406136234,0.0010460861431846218,0.0011492868092187697,0.0010462775511377116,0.0010542824319860985,0.0011922420179968692,0.0011567555719772106,0.0010277651174236905,0.0010361137441812368,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
1,5,0.0013588310611375,0.0011060709894065873,0.0010430019226506098,0.0012851287203261,0.001122335611628541,0.0011928345562553146,0.0012288322809763015,0.0012405643016751551,0.0012791309981163477,0.0012496372353720097,0.002963882166493481,0.0023364110023357,0.0017239425028232472,0.0017444980525804,0.0014774288179029151,0.0013413172754651369,0.0013427028260063999,0.0011857931120386484,0.0013006466161448013,0.0010686916430207717,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
2,1,0.0013988844222147612,0.0013044651166385004,0.0012346706453890163,0.001145626773311817,0.0010645665466512946,0.0011685865942447375,0.001032863443225493,0.0012405302864350555,0.0009972673243839579,0.0011110793351711546,0.0024746106975044643,0.0017094717002115235,0.0015585841640431,0.0012283287005216007,0.0011743148447763956,0.0010375605923225383,0.0011112862426834852,0.0011069033518656003,0.0010583228242685132,0.0010788758886391913,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0030363212263434815,0.001940814857824661,0.0015439594855426433,0.00134455089504741,0.0014046751488417878,0.0012509736504302447,0.0012493797396721897,0.0009750824922899935,0.001118946504880805,0.0009753154314091643,0.0015172774075313726,0.0012671637858531041,0.001404192094212329,0.0014176050665258928,0.0011331255019121386,0.0009445688664223495,0.0011305365365274684,0.0011408084557396915,0.0011580074415454464,0.0010218419661812712,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.0013121710725964,0.00122052436307187,0.0012523217303386002,0.0012082885393120012,0.0010210461632614062,0.0012397701739367396,0.0012011902977575762,0.0010136237022921595,0.0011715096195049604,0.0012049633182232276,0.0033975119973254004,0.0027279820528212997,0.0021134915255480004,0.0017392852259363,0.0017337200186848998,0.0014369165448531002,0.0013640313828166,0.0014013382900583,0.0012497366003452,0.0013447670222171,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0039809519531954505,0.0032506029514193374,0.0023369699415099997,0.0018328499443982774,0.0017311644582962695,0.001017079327964539,0.0011788731293950509,0.00107650173911954,0.0011244611310193505,0.0009799275330921232,0.0011577102378023023,0.000919115624699522,0.0009797279908461823,0.000838469189064264,0.0008871522100007876,0.0008711860647140653,0.001032970321038992,0.0007881695900409492,0.0011809966852637625,0.0009357233251108104,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
2,1,0.0027699238585007727,0.0022447897554903062,0.001611647811276702,0.0016150666579100917,0.0015545115996800662,0.0012101289079665747,0.001052169682415041,0.0011372909820929874,0.0010153421954000627,0.0011830038818432197,0.0018871444305313132,0.0018161440946746002,0.0015596385563617697,0.0015960469761117,0.001236645668088857,0.0012446071159060094,0.0012320447625514981,0.0011534055982155408,0.001204508691128798,0.0012113542029099313,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
2,3,0.0012424898100574606,0.001053925731429159,0.0013524001288466,0.001259151758235139,0.0009639272678908595,0.001037027808391546,0.0010249237426456451,0.0009842482880796542,0.0013418692704843626,0.0010031963646706392,0.0029039996158572003,0.002191435467621944,0.001874247171215408,0.0015986711158991,0.0017179112943142357,0.0012425330426352726,0.0011542752061973142,0.001119233295717715,0.0010985590535010769,0.0012172414787702285,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
2,2,0.0011838876678943074,0.0009737431760874836,0.0011302164243409817,0.0011044754827852165,0.0011281453605125787,0.0010540722055530512,0.0007467273531058842,0.0010420182098803614,0.0009009004759126284,0.001032081393322286,0.0012301921315786297,0.0009408587104347926,0.0012131770996940574,0.0008768024490346737,0.0009691425364337293,0.001051114097196841,0.0010873294144475223,0.0010866960862210785,0.0009490556392522871,0.0009198626554029162,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1,0.0019113289309029737,0.0014770094066886602,0.0013762565647647332,0.0011722093877123997,0.0013200087945196156,0.0010952716681859142,0.00104382497384538,0.001136111743912936,0.0010384801779587925,0.0012174839216647162,0.0015086572584318214,0.0014627482698476293,0.001290760103257223,0.0011058920556681678,0.001130819734493477,0.0009658852576761686,0.001008792457054665,0.000980948429928965,0.0010279298100982213,0.0009562740117418417,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
2,2,0.0015190701795721002,0.0014662282227755684,0.0012782173906985225,0.0012438102077525514,0.0012118265866178995,0.000981549474714407,0.0009987557463711119,0.0010322999435750408,0.0010843991516090842,0.001002604598678572,0.0018440108239998394,0.0016507903874570004,0.0012755036364056167,0.0011212610045441126,0.0012881248633351,0.0009159301646672269,0.0009889525064924322,0.0010842527551018517,0.0010942399908350604,0.00096866603854453,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2,0.0011897158655012781,0.0011350846584928605,0.0011838713204590612,0.0008942370228818935,0.0010565527379202656,0.0009520334855085122,0.0011427817607730132,0.0012361507791332372,0.0010011696308797806,0.0010996480331735582,0.0014332485150711253,0.001342315632696153,0.0011849079187566873,0.0012379169167529443,0.001169355065850852,0.0011533644996937213,0.001021357908076397,0.001097210057740169,0.0013023457634772772,0.000936956859470228,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,0.0010852323557421564,0.0010602293859761414,0.0011280515459330981,0.001090800225728516,0.0012886005944615473,0.0010659539897231406,0.0011434868310885092,0.0011111923691663303,0.0011118482987171531,0.0011483812410522875,0.001578278786584261,0.0014932909787105822,0.0012026625154533152,0.0011870391742903935,0.0010419860167649496,0.0011388203938164714,0.0009836260702794633,0.0011330670608331798,0.0009124651345139474,0.0012027698025789486,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.002472358694071462,0.0020269858872628,0.0016905398093113224,0.0014274278112901297,0.001514123875430442,0.0012015913652700303,0.00109424712684028,0.0012023704548383522,0.0010346324764423157,0.0010570659826438962,0.001581889257382484,0.001288579267584141,0.0013094118128197992,0.0012903094133197585,0.0012608768256922216,0.0011790222035790818,0.0009925899117320506,0.0011702721878681876,0.0011658699144365468,0.0012992561828942962,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0017763356763154429,0.001454725931218302,0.001571408588064732,0.001323511472817,0.0011649001978266,0.0013349384321819369,0.0010374699481202052,0.001176969074068411,0.0013236792039695176,0.0013355182202531525,0.0031277842910441005,0.002869541710198501,0.0022671161663117,0.0018987424315776004,0.0020833200662693,0.0015860601102002927,0.001441380103626775,0.0015552208314624687,0.0014336117746639,0.0016345985025134002,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.002901694759737725,0.0024788588828512054,0.001656574108060346,0.0016409277426170195,0.0016375152899739925,0.001168729299779077,0.001105236538057904,0.0011976941783822825,0.0011103497541053318,0.001169840423627257,0.0011215992680222503,0.0012511979730403966,0.001210684638475009,0.0010843720762973412,0.0011227338439767193,0.0010264435391144462,0.0009331372227265721,0.0010879710853590235,0.0008835990685271794,0.0010930585264970084,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2,0.001878054581241221,0.0017813701044916,0.0015330343703616,0.0010823426824958307,0.0011168178924770593,0.0012206033517845668,0.0010419220224783582,0.000978978142705762,0.000996488643867865,0.0009754180142519688,0.0017979412402397,0.0013312860861078417,0.0012604531516632127,0.0010452130681760244,0.0012357846032041233,0.0010559910860228456,0.0010809920112208828,0.000955189612642115,0.000988645504334548,0.0009931322044911782,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
3,2,0.0010563494683803742,0.0011590015754037969,0.0009313363807367705,0.0009098968873283401,0.0010072014806838231,0.0010299964319759893,0.0010510082488370807,0.0009670458423607825,0.0009531109695493523,0.0008685271722404427,0.0017504266070048288,0.0013826282151713802,0.0012648294598945472,0.001042090333747882,0.001143549254403351,0.0010321083527095292,0.0008673029438609663,0.0009300026308664561,0.0007972961828728534,0.0009019942167737905,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.005890684084019221,0.0047426960420393245,0.0033548553741788996,0.003324724028610284,0.0029471284675806723,0.002035322368090072,0.0017968556223151434,0.0015118807664588865,0.001664429450919494,0.0018371942008880424,0.0035383872922483,0.0026502257676220002,0.0024081560893614,0.0023308490863757,0.0019235154050151488,0.0019733612950400977,0.00168790249901173,0.001830358218841,0.0017292801312078,0.0016838086372642353,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
