t_shift,absolute_ATE,relative_ATE
0,0.0020800378169875938,0.10893831111112835
1,0.029760850538486892,1.5193401785313556
2,0.026656216476175727,1.3272621440153693
3,0.024106985878183593,1.1749340145481435
4,0.020916504529653115,1.0018986583593548
5,0.018719860562561762,0.8843670653639356
6,0.007409973291210229,0.3279602964419904
7,0.005468020276680903,0.24227400097104215
8,0.004259852092319784,0.19296644458743098
9,0.003131273885586673,0.14883287893360786
10,0.002681849781658745,0.13382873529820988
11,0.002127725320246602,0.10947336202492224
12,0.0023172868376990143,0.11791804619275405
13,0.002463893301957405,0.127984303740882
14,0.002070494069798926,0.10942543149868587
15,0.002049293114316695,0.10624937258834097
16,0.002184112458697828,0.11327476793499809
17,0.0020700572702788897,0.11033009614952925
18,0.0021314985068162824,0.11024516740033481
19,0.002011367581302082,0.10381903586912523
