t_shift,absolute_ATE,relative_ATE
0,0.0021090026378078703,0.10858687514434606
1,0.01960003961275718,0.9951511964071191
2,0.018928856873994943,0.9388162931810706
3,0.01773410554953872,0.8697881905751069
4,0.016146646506902243,0.7746632643763408
5,0.01407173613793323,0.6666229588595535
6,0.006406619722866809,0.29005093026766443
7,0.004780349103548949,0.21880864305756764
8,0.0034566889849490445,0.16015753918176845
9,0.0028147097215442656,0.1366647664023132
10,0.002535417520778752,0.12661483277867036
11,0.0020457924253579384,0.1042018131262194
12,0.0021202826631308925,0.10856791517988679
13,0.0020112618410791775,0.1030532171406426
14,0.002297700265208891,0.11600875308823523
15,0.0022779525567525084,0.11533529278554575
16,0.0021825435858444805,0.1113715333210207
17,0.00228698670421842,0.1161117186348345
18,0.002174014194967603,0.11212052564661651
19,0.002108357241423756,0.10768626415332758
