t_shift,absolute_ATE,relative_ATE
0,0.001978998322550046,0.11562771254522858
1,0.03072210247408634,1.7513622626136809
2,0.02616532185507187,1.4463908840269395
3,0.022013817231648546,1.192162427656242
4,0.018427962247719032,0.9862692184155065
5,0.015865375425175077,0.8380392345365059
6,0.005521750278699598,0.2841018435946774
7,0.0037402897568986197,0.19281576257326707
8,0.003011480196683262,0.16125433403688538
9,0.0023492536239033855,0.13033748304590645
10,0.0021651714285873145,0.12208696396308394
11,0.0020821457342466987,0.12125558525721099
12,0.001919144603199861,0.11220473702477025
13,0.0019946272444066014,0.11608239181274232
14,0.0019896493332297103,0.11592543414793545
15,0.0018954696028435447,0.11063485948521085
16,0.0019569188627976872,0.11399790391689589
17,0.0019512674402809265,0.11427577351451344
18,0.002045439942783776,0.12032796231212144
19,0.002080526712724042,0.12519009908118306
